     #Energy       W_all      Mo_all      Ti_all      Rh_all
   -76.12773     0.00000     0.00000     0.00000     0.00000
   -76.11673     0.00000     0.00000     0.00000     0.00000
   -76.10573     0.00000     0.00000     0.00000     0.00000
   -76.09473     0.00000     0.00000     0.00000     0.00000
   -76.08373     0.00000     0.00000     0.00000     0.00000
   -76.07173     0.00000     0.00000     0.00000     0.00000
   -76.06073     0.00000     0.00000     0.00000     0.00000
   -76.04973     0.00000     0.00000     0.00000     0.00000
   -76.03873     0.00000     0.00000     0.00000     0.00000
   -76.02773     0.00000     0.00000     0.00000     0.00000
   -76.01673     0.00000     0.00000     0.00000     0.00000
   -76.00573     0.00000     0.00000     0.00000     0.00000
   -75.99473     0.00000     0.00000     0.00000     0.00000
   -75.98373     0.00000     0.00000     0.00000     0.00000
   -75.97273     0.00000     0.00000     0.00000     0.00000
   -75.96173     0.00000     0.00000     0.00000     0.00000
   -75.95073     0.00000     0.00000     0.00000     0.00000
   -75.93873     0.00000     0.00000     0.00000     0.00000
   -75.92773     0.00000     0.00000     0.00000     0.00000
   -75.91673     0.00000     0.00000     0.00000     0.00000
   -75.90573     0.00000     0.00000     0.00000     0.00000
   -75.89473     0.00000     0.00000     0.00000     0.00000
   -75.88373     0.00000     0.00000     0.00000     0.00000
   -75.87273     0.00000     0.00000     0.00000     0.00000
   -75.86173     0.00000     0.00000     0.00000     0.00000
   -75.85073     0.00000     0.00000     0.00000     0.00000
   -75.83973     0.00000     0.00000     0.00000     0.00000
   -75.82873     0.00000     0.00000     0.00000     0.00000
   -75.81673     0.00000     0.00000     0.00000     0.00000
   -75.80573     0.00000     0.00000     0.00000     0.00000
   -75.79473     0.00000     0.00000     0.00000     0.00000
   -75.78373     0.00000     0.00000     0.00000     0.00000
   -75.77273     0.00000     0.00000     0.00000     0.00000
   -75.76173     0.00000     0.00000     0.00000     0.00000
   -75.75073     0.00000     0.00000     0.00000     0.00000
   -75.73973     0.00000     0.00000     0.00000     0.00000
   -75.72873     0.00000     0.00000     0.00000     0.00000
   -75.71773     0.00000     0.00000     0.00000     0.00000
   -75.70673     0.00000     0.00000     0.00000     0.00000
   -75.69473     0.00000     0.00000     0.00000     0.00000
   -75.68373     0.00000     0.00000     0.00000     0.00000
   -75.67273     0.00000     0.00000     0.00000     0.00000
   -75.66173     0.00000     0.00000     0.00000     0.00000
   -75.65073     0.00000     0.00000     0.00000     0.00000
   -75.63973     0.00000     0.00000     0.00000     0.00000
   -75.62873     0.00000     0.00000     0.00000     0.00000
   -75.61773     0.00000     0.00000     0.00000     0.00000
   -75.60673     0.00000     0.00000     0.00000     0.00000
   -75.59573     0.00000     0.00000     0.00000     0.00000
   -75.58473     0.00000     0.00000     0.00000     0.00000
   -75.57373     0.00000     0.00000     0.00000     0.00000
   -75.56173     0.00000     0.00000     0.00000     0.00000
   -75.55073     0.00000     0.00000     0.00000     0.00000
   -75.53973     0.00000     0.00000     0.00000     0.00000
   -75.52873     0.00000     0.00000     0.00000     0.00000
   -75.51773     0.00000     0.00000     0.00000     0.00000
   -75.50673     0.00000     0.00000     0.00000     0.00000
   -75.49573     0.00000     0.00000     0.00000     0.00000
   -75.48473     0.00000     0.00000     0.00000     0.00000
   -75.47373     0.00000     0.00000     0.00000     0.00000
   -75.46273     0.00000     0.00000     0.00000     0.00000
   -75.45173     0.00000     0.00000     0.00000     0.00000
   -75.43973     0.00000     0.00000     0.00000     0.00000
   -75.42873     0.00000     0.00000     0.00000     0.00000
   -75.41773     0.00000     0.00000     0.00000     0.00000
   -75.40673     0.00000     0.00000     0.00000     0.00000
   -75.39573     0.00000     0.00000     0.00000     0.00000
   -75.38473     0.00000     0.00000     0.00000     0.00000
   -75.37373     0.00000     0.00000     0.00000     0.00000
   -75.36273     0.00000     0.00000     0.00000     0.00000
   -75.35173     0.00000     0.00000     0.00000     0.00000
   -75.34073     0.00000     0.00000     0.00000     0.00000
   -75.32973     0.00000     0.00000     0.00000     0.00000
   -75.31773     0.00000     0.00000     0.00000     0.00000
   -75.30673     0.00000     0.00000     0.00000     0.00000
   -75.29573     0.00000     0.00000     0.00000     0.00000
   -75.28473     0.00000     0.00000     0.00000     0.00000
   -75.27373     0.00000     0.00000     0.00000     0.00000
   -75.26273     0.00000     0.00000     0.00000     0.00000
   -75.25173     0.00000     0.00000     0.00000     0.00000
   -75.24073     0.00000     0.00000     0.00000     0.00000
   -75.22973     0.00000     0.00000     0.00000     0.00000
   -75.21873     0.00000     0.00000     0.00000     0.00000
   -75.20773     0.00000     0.00000     0.00000     0.00000
   -75.19673     0.00000     0.00000     0.00000     0.00000
   -75.18473     0.00000     0.00000     0.00000     0.00000
   -75.17373     0.00000     0.00000     0.00000     0.00000
   -75.16273     0.00000     0.00000     0.00000     0.00000
   -75.15173     0.00000     0.00000     0.00000     0.00000
   -75.14073     0.00000     0.00000     0.00000     0.00000
   -75.12973     0.00000     0.00000     0.00000     0.00000
   -75.11873     0.00000     0.00000     0.00000     0.00000
   -75.10773     0.00000     0.00000     0.00000     0.00000
   -75.09673     0.00000     0.00000     0.00000     0.00000
   -75.08573     0.00000     0.00000     0.00000     0.00000
   -75.07473     0.00000     0.00000     0.00000     0.00000
   -75.06273     0.00000     0.00000     0.00000     0.00000
   -75.05173     0.00000     0.00000     0.00000     0.00000
   -75.04073     0.00000     0.00000     0.00000     0.00000
   -75.02973     0.00000     0.00000     0.00000     0.00000
   -75.01873     0.00000     0.00000     0.00000     0.00000
   -75.00773     0.00000     0.00000     0.00000     0.00000
   -74.99673     0.00000     0.00000     0.00000     0.00000
   -74.98573     0.00000     0.00000     0.00000     0.00000
   -74.97473     0.00000     0.00000     0.00000     0.00000
   -74.96373     0.00000     0.00000     0.00000     0.00000
   -74.95273     0.00000     0.00000     0.00000     0.00000
   -74.94073     0.00000     0.00000     0.00000     0.00000
   -74.92973     0.00000     0.00000     0.00000     0.00000
   -74.91873     0.00000     0.00000     0.00000     0.00000
   -74.90773     0.00000     0.00000     0.00000     0.00000
   -74.89673     0.00000     0.00000     0.00000     0.00000
   -74.88573     0.00000     0.00000     0.00000     0.00000
   -74.87473     0.00000     0.00000     0.00000     0.00000
   -74.86373     0.00000     0.00000     0.00000     0.00000
   -74.85273     0.00000     0.00000     0.00000     0.00000
   -74.84173     0.00000     0.00000     0.00000     0.00000
   -74.83073     0.00000     0.00000     0.00000     0.00000
   -74.81973     0.00000     0.00000     0.00000     0.00000
   -74.80773     0.00000     0.00000     0.00000     0.00000
   -74.79673     0.00000     0.00000     0.00000     0.00000
   -74.78573     0.00000     0.00000     0.00000     0.00000
   -74.77473     0.00000     0.00000     0.00000     0.00000
   -74.76373     0.00000     0.00000     0.00000     0.00000
   -74.75273     0.00000     0.00000     0.00000     0.00000
   -74.74173     0.00000     0.00000     0.00000     0.00000
   -74.73073     0.00000     0.00000     0.00000     0.00000
   -74.71973     0.00000     0.00000     0.00000     0.00000
   -74.70873     0.00000     0.00000     0.00000     0.00000
   -74.69773     0.00000     0.00000     0.00000     0.00000
   -74.68573     0.00000     0.00000     0.00000     0.00000
   -74.67473     0.00000     0.00000     0.00000     0.00000
   -74.66373     0.00000     0.00000     0.00000     0.00000
   -74.65273     0.00000     0.00000     0.00000     0.00000
   -74.64173     0.00000     0.00000     0.00000     0.00000
   -74.63073     0.00000     0.00000     0.00000     0.00000
   -74.61973     0.00000     0.00000     0.00000     0.00000
   -74.60873     0.00000     0.00000     0.00000     0.00000
   -74.59773     0.00000     0.00000     0.00000     0.00000
   -74.58673     0.00000     0.00000     0.00000     0.00000
   -74.57573     0.00000     0.00000     0.00000     0.00000
   -74.56373     0.00000     0.00000     0.00000     0.00000
   -74.55273     0.00000     0.00000     0.00000     0.00000
   -74.54173     0.00000     0.00000     0.00000     0.00000
   -74.53073     0.00000     0.00000     0.00000     0.00000
   -74.51973     0.00000     0.00000     0.00000     0.00000
   -74.50873     0.00000     0.00000     0.00000     0.00000
   -74.49773     0.00000     0.00000     0.00000     0.00000
   -74.48673     0.00000     0.00000     0.00000     0.00000
   -74.47573     0.00000     0.00000     0.00000     0.00000
   -74.46473     0.00000     0.00000     0.00000     0.00000
   -74.45373     0.00000     0.00000     0.00000     0.00000
   -74.44273     0.00000     0.00000     0.00000     0.00000
   -74.43073     0.00000     0.00000     0.00000     0.00000
   -74.41973     0.00000     0.00000     0.00000     0.00000
   -74.40873     0.00000     0.00000     0.00000     0.00000
   -74.39773     0.00000     0.00000     0.00000     0.00000
   -74.38673     0.00000     0.00000     0.00000     0.00000
   -74.37573     0.00000     0.00000     0.00000     0.00000
   -74.36473     0.00000     0.00000     0.00000     0.00000
   -74.35373     0.00000     0.00000     0.00000     0.00000
   -74.34273     0.00000     0.00000     0.00000     0.00000
   -74.33173     0.00000     0.00000     0.00000     0.00000
   -74.32073     0.00000     0.00000     0.00000     0.00000
   -74.30873     0.00000     0.00000     0.00000     0.00000
   -74.29773     0.00000     0.00000     0.00000     0.00000
   -74.28673     0.00000     0.00000     0.00000     0.00000
   -74.27573     0.00000     0.00000     0.00000     0.00000
   -74.26473     0.00000     0.00000     0.00000     0.00000
   -74.25373     0.00000     0.00000     0.00000     0.00000
   -74.24273   179.88946     0.00697     0.00000     0.00583
   -74.23173     0.00000     0.00000     0.00000     0.00000
   -74.22073   179.88707     0.00536     0.00000     0.00478
   -74.20973     0.00000     0.00000     0.00000     0.00000
   -74.19873     0.00000     0.00000     0.00000     0.00000
   -74.18673     0.00000     0.00000     0.00000     0.00000
   -74.17573     0.00000     0.00000     0.00000     0.00000
   -74.16473     0.00000     0.00000     0.00000     0.00000
   -74.15373     0.00000     0.00000     0.00000     0.00000
   -74.14273     0.00000     0.00000     0.00000     0.00000
   -74.13173   179.87043     0.00791     0.00000     0.00087
   -74.12073     0.00000     0.00000     0.00000     0.00000
   -74.10973     0.00000     0.00000     0.00000     0.00000
   -74.09873   179.89710     0.00615     0.00001     0.00133
   -74.08773     0.00000     0.00000     0.00000     0.00000
   -74.07673   359.86148     0.01103     0.00002     0.00715
   -74.06573   179.81524     0.00499     0.00070     0.00275
   -74.05373     0.00000     0.00000     0.00000     0.00000
   -74.04273     0.00000     0.00000     0.00000     0.00000
   -74.03173   179.94231     0.00712     0.00025     0.00144
   -74.02073   179.97938     0.00412     0.00079     0.00291
   -74.00973     0.00000     0.00000     0.00000     0.00000
   -73.99873     0.00000     0.00000     0.00000     0.00000
   -73.98773     0.00000     0.00000     0.00000     0.00000
   -73.97673  9358.58187     0.33824     0.01902     0.03536
   -73.96573     0.83260     0.00003     0.00000     0.00000
   -73.95473   179.89942     0.00607     0.00042     0.00033
   -73.94373   359.83037     0.01242     0.00058     0.00086
