     #Energy       W_all      Mo_all      Ti_all      Os_all
   -75.04848     0.00000     0.00000     0.00000     0.00000
   -75.03848     0.00000     0.00000     0.00000     0.00000
   -75.02748     0.00000     0.00000     0.00000     0.00000
   -75.01648     0.00000     0.00000     0.00000     0.00000
   -75.00548     0.00000     0.00000     0.00000     0.00000
   -74.99548     0.00000     0.00000     0.00000     0.00000
   -74.98448     0.00000     0.00000     0.00000     0.00000
   -74.97348     0.00000     0.00000     0.00000     0.00000
   -74.96348     0.00000     0.00000     0.00000     0.00000
   -74.95248     0.00000     0.00000     0.00000     0.00000
   -74.94148     0.00000     0.00000     0.00000     0.00000
   -74.93148     0.00000     0.00000     0.00000     0.00000
   -74.92048     0.00000     0.00000     0.00000     0.00000
   -74.90948     0.00000     0.00000     0.00000     0.00000
   -74.89848     0.00000     0.00000     0.00000     0.00000
   -74.88848     0.00000     0.00000     0.00000     0.00000
   -74.87748     0.00000     0.00000     0.00000     0.00000
   -74.86648     0.00000     0.00000     0.00000     0.00000
   -74.85648     0.00000     0.00000     0.00000     0.00000
   -74.84548     0.00000     0.00000     0.00000     0.00000
   -74.83448     0.00000     0.00000     0.00000     0.00000
   -74.82448     0.00000     0.00000     0.00000     0.00000
   -74.81348     0.00000     0.00000     0.00000     0.00000
   -74.80248     0.00000     0.00000     0.00000     0.00000
   -74.79148     0.00000     0.00000     0.00000     0.00000
   -74.78148     0.00000     0.00000     0.00000     0.00000
   -74.77048     0.00000     0.00000     0.00000     0.00000
   -74.75948     0.00000     0.00000     0.00000     0.00000
   -74.74948     0.00000     0.00000     0.00000     0.00000
   -74.73848     0.00000     0.00000     0.00000     0.00000
   -74.72748     0.00000     0.00000     0.00000     0.00000
   -74.71748     0.00000     0.00000     0.00000     0.00000
   -74.70648     0.00000     0.00000     0.00000     0.00000
   -74.69548     0.00000     0.00000     0.00000     0.00000
   -74.68448     0.00000     0.00000     0.00000     0.00000
   -74.67448     0.00000     0.00000     0.00000     0.00000
   -74.66348     0.00000     0.00000     0.00000     0.00000
   -74.65248     0.00000     0.00000     0.00000     0.00000
   -74.64248     0.00000     0.00000     0.00000     0.00000
   -74.63148     0.00000     0.00000     0.00000     0.00000
   -74.62048     0.00000     0.00000     0.00000     0.00000
