     #Energy       W_all      Mo_all      Ru_all      Hf_all
   -77.47217     0.00000     0.00000     0.00000     0.00000
   -77.46217     0.00000     0.00000     0.00000     0.00000
   -77.45117     0.00000     0.00000     0.00000     0.00000
   -77.44017     0.00000     0.00000     0.00000     0.00000
   -77.42917     0.00000     0.00000     0.00000     0.00000
   -77.41817     0.00000     0.00000     0.00000     0.00000
   -77.40717     0.00000     0.00000     0.00000     0.00000
   -77.39717     0.00000     0.00000     0.00000     0.00000
   -77.38617     0.00000     0.00000     0.00000     0.00000
   -77.37517     0.00000     0.00000     0.00000     0.00000
   -77.36417     0.00000     0.00000     0.00000     0.00000
   -77.35317     0.00000     0.00000     0.00000     0.00000
   -77.34217     0.00000     0.00000     0.00000     0.00000
   -77.33217     0.00000     0.00000     0.00000     0.00000
   -77.32117     0.00000     0.00000     0.00000     0.00000
   -77.31017     0.00000     0.00000     0.00000     0.00000
   -77.29917     0.00000     0.00000     0.00000     0.00000
   -77.28817     0.00000     0.00000     0.00000     0.00000
   -77.27717     0.00000     0.00000     0.00000     0.00000
   -77.26617     0.00000     0.00000     0.00000     0.00000
   -77.25617     0.00000     0.00000     0.00000     0.00000
   -77.24517     0.00000     0.00000     0.00000     0.00000
   -77.23417     0.00000     0.00000     0.00000     0.00000
   -77.22317     0.00000     0.00000     0.00000     0.00000
   -77.21217     0.00000     0.00000     0.00000     0.00000
   -77.20117     0.00000     0.00000     0.00000     0.00000
   -77.19117     0.00000     0.00000     0.00000     0.00000
   -77.18017     0.00000     0.00000     0.00000     0.00000
   -77.16917     0.00000     0.00000     0.00000     0.00000
   -77.15817     0.00000     0.00000     0.00000     0.00000
   -77.14717     0.00000     0.00000     0.00000     0.00000
   -77.13617     0.00000     0.00000     0.00000     0.00000
   -77.12517     0.00000     0.00000     0.00000     0.00000
   -77.11517     0.00000     0.00000     0.00000     0.00000
   -77.10417     0.00000     0.00000     0.00000     0.00000
   -77.09317     0.00000     0.00000     0.00000     0.00000
   -77.08217     0.00000     0.00000     0.00000     0.00000
   -77.07117     0.00000     0.00000     0.00000     0.00000
   -77.06017     0.00000     0.00000     0.00000     0.00000
   -77.05017     0.00000     0.00000     0.00000     0.00000
   -77.03917     0.00000     0.00000     0.00000     0.00000
   -77.02817     0.00000     0.00000     0.00000     0.00000
   -77.01717     0.00000     0.00000     0.00000     0.00000
   -77.00617     0.00000     0.00000     0.00000     0.00000
   -76.99517     0.00000     0.00000     0.00000     0.00000
   -76.98417     0.00000     0.00000     0.00000     0.00000
   -76.97417     0.00000     0.00000     0.00000     0.00000
   -76.96317     0.00000     0.00000     0.00000     0.00000
   -76.95217     0.00000     0.00000     0.00000     0.00000
   -76.94117     0.00000     0.00000     0.00000     0.00000
   -76.93017     0.00000     0.00000     0.00000     0.00000
   -76.91917     0.00000     0.00000     0.00000     0.00000
   -76.90917     0.00000     0.00000     0.00000     0.00000
   -76.89817     0.00000     0.00000     0.00000     0.00000
   -76.88717     0.00000     0.00000     0.00000     0.00000
   -76.87617     0.00000     0.00000     0.00000     0.00000
   -76.86517     0.00000     0.00000     0.00000     0.00000
   -76.85417     0.00000     0.00000     0.00000     0.00000
   -76.84417     0.00000     0.00000     0.00000     0.00000
   -76.83317     0.00000     0.00000     0.00000     0.00000
   -76.82217     0.00000     0.00000     0.00000     0.00000
   -76.81117     0.00000     0.00000     0.00000     0.00000
   -76.80017     0.00000     0.00000     0.00000     0.00000
   -76.78917     0.00000     0.00000     0.00000     0.00000
   -76.77817     0.00000     0.00000     0.00000     0.00000
   -76.76817     0.00000     0.00000     0.00000     0.00000
   -76.75717     0.00000     0.00000     0.00000     0.00000
   -76.74617     0.00000     0.00000     0.00000     0.00000
   -76.73517     0.00000     0.00000     0.00000     0.00000
   -76.72417     0.00000     0.00000     0.00000     0.00000
   -76.71317     0.00000     0.00000     0.00000     0.00000
   -76.70317     0.00000     0.00000     0.00000     0.00000
   -76.69217     0.00000     0.00000     0.00000     0.00000
   -76.68117     0.00000     0.00000     0.00000     0.00000
   -76.67017     0.00000     0.00000     0.00000     0.00000
   -76.65917     0.00000     0.00000     0.00000     0.00000
   -76.64817     0.00000     0.00000     0.00000     0.00000
   -76.63717     0.00000     0.00000     0.00000     0.00000
   -76.62717     0.00000     0.00000     0.00000     0.00000
   -76.61617     0.00000     0.00000     0.00000     0.00000
   -76.60517     0.00000     0.00000     0.00000     0.00000
   -76.59417     0.00000     0.00000     0.00000     0.00000
   -76.58317     0.00000     0.00000     0.00000     0.00000
   -76.57217     0.00000     0.00000     0.00000     0.00000
   -76.56217     0.00000     0.00000     0.00000     0.00000
   -76.55117     0.00000     0.00000     0.00000     0.00000
   -76.54017     0.00000     0.00000     0.00000     0.00000
   -76.52917     0.00000     0.00000     0.00000     0.00000
