     #Energy       W_all      Mo_all      Pt_all      Zr_all
   -77.08323     0.00000     0.00000     0.00000     0.00000
   -77.07223     0.00000     0.00000     0.00000     0.00000
   -77.06123     0.00000     0.00000     0.00000     0.00000
   -77.05023     0.00000     0.00000     0.00000     0.00000
   -77.03923     0.00000     0.00000     0.00000     0.00000
   -77.02923     0.00000     0.00000     0.00000     0.00000
   -77.01823     0.00000     0.00000     0.00000     0.00000
   -77.00723     0.00000     0.00000     0.00000     0.00000
   -76.99623     0.00000     0.00000     0.00000     0.00000
   -76.98523     0.00000     0.00000     0.00000     0.00000
   -76.97423     0.00000     0.00000     0.00000     0.00000
   -76.96323     0.00000     0.00000     0.00000     0.00000
   -76.95223     0.00000     0.00000     0.00000     0.00000
   -76.94123     0.00000     0.00000     0.00000     0.00000
   -76.93123     0.00000     0.00000     0.00000     0.00000
   -76.92023     0.00000     0.00000     0.00000     0.00000
   -76.90923     0.00000     0.00000     0.00000     0.00000
   -76.89823     0.00000     0.00000     0.00000     0.00000
   -76.88723     0.00000     0.00000     0.00000     0.00000
   -76.87623     0.00000     0.00000     0.00000     0.00000
   -76.86523     0.00000     0.00000     0.00000     0.00000
   -76.85423     0.00000     0.00000     0.00000     0.00000
   -76.84323     0.00000     0.00000     0.00000     0.00000
   -76.83323     0.00000     0.00000     0.00000     0.00000
   -76.82223     0.00000     0.00000     0.00000     0.00000
   -76.81123     0.00000     0.00000     0.00000     0.00000
   -76.80023     0.00000     0.00000     0.00000     0.00000
   -76.78923     0.00000     0.00000     0.00000     0.00000
   -76.77823     0.00000     0.00000     0.00000     0.00000
   -76.76723     0.00000     0.00000     0.00000     0.00000
   -76.75623     0.00000     0.00000     0.00000     0.00000
   -76.74523     0.00000     0.00000     0.00000     0.00000
   -76.73523     0.00000     0.00000     0.00000     0.00000
   -76.72423     0.00000     0.00000     0.00000     0.00000
   -76.71323     0.00000     0.00000     0.00000     0.00000
   -76.70223     0.00000     0.00000     0.00000     0.00000
   -76.69123     0.00000     0.00000     0.00000     0.00000
   -76.68023     0.00000     0.00000     0.00000     0.00000
   -76.66923     0.00000     0.00000     0.00000     0.00000
   -76.65823     0.00000     0.00000     0.00000     0.00000
   -76.64723     0.00000     0.00000     0.00000     0.00000
   -76.63723     0.00000     0.00000     0.00000     0.00000
   -76.62623     0.00000     0.00000     0.00000     0.00000
   -76.61523     0.00000     0.00000     0.00000     0.00000
   -76.60423     0.00000     0.00000     0.00000     0.00000
   -76.59323     0.00000     0.00000     0.00000     0.00000
   -76.58223     0.00000     0.00000     0.00000     0.00000
   -76.57123     0.00000     0.00000     0.00000     0.00000
   -76.56023     0.00000     0.00000     0.00000     0.00000
   -76.54923     0.00000     0.00000     0.00000     0.00000
   -76.53923     0.00000     0.00000     0.00000     0.00000
   -76.52823     0.00000     0.00000     0.00000     0.00000
   -76.51723     0.00000     0.00000     0.00000     0.00000
   -76.50623     0.00000     0.00000     0.00000     0.00000
   -76.49523     0.00000     0.00000     0.00000     0.00000
   -76.48423     0.00000     0.00000     0.00000     0.00000
   -76.47323     0.00000     0.00000     0.00000     0.00000
   -76.46223     0.00000     0.00000     0.00000     0.00000
   -76.45123     0.00000     0.00000     0.00000     0.00000
   -76.44123     0.00000     0.00000     0.00000     0.00000
   -76.43023     0.00000     0.00000     0.00000     0.00000
   -76.41923     0.00000     0.00000     0.00000     0.00000
   -76.40823     0.00000     0.00000     0.00000     0.00000
   -76.39723     0.00000     0.00000     0.00000     0.00000
   -76.38623     0.00000     0.00000     0.00000     0.00000
   -76.37523     0.00000     0.00000     0.00000     0.00000
   -76.36423     0.00000     0.00000     0.00000     0.00000
   -76.35423     0.00000     0.00000     0.00000     0.00000
   -76.34323     0.00000     0.00000     0.00000     0.00000
   -76.33223     0.00000     0.00000     0.00000     0.00000
   -76.32123     0.00000     0.00000     0.00000     0.00000
   -76.31023     0.00000     0.00000     0.00000     0.00000
   -76.29923     0.00000     0.00000     0.00000     0.00000
   -76.28823     0.00000     0.00000     0.00000     0.00000
   -76.27723     0.00000     0.00000     0.00000     0.00000
   -76.26623     0.00000     0.00000     0.00000     0.00000
   -76.25623     0.00000     0.00000     0.00000     0.00000
   -76.24523     0.00000     0.00000     0.00000     0.00000
   -76.23423     0.00000     0.00000     0.00000     0.00000
   -76.22323     0.00000     0.00000     0.00000     0.00000
   -76.21223     0.00000     0.00000     0.00000     0.00000
   -76.20123     0.00000     0.00000     0.00000     0.00000
   -76.19023     0.00000     0.00000     0.00000     0.00000
   -76.17923     0.00000     0.00000     0.00000     0.00000
   -76.16823     0.00000     0.00000     0.00000     0.00000
   -76.15823     0.00000     0.00000     0.00000     0.00000
   -76.14723     0.00000     0.00000     0.00000     0.00000
   -76.13623     0.00000     0.00000     0.00000     0.00000
   -76.12523     0.00000     0.00000     0.00000     0.00000
   -76.11423     0.00000     0.00000     0.00000     0.00000
   -76.10323     0.00000     0.00000     0.00000     0.00000
   -76.09223     0.00000     0.00000     0.00000     0.00000
   -76.08123     0.00000     0.00000     0.00000     0.00000
   -76.07023     0.00000     0.00000     0.00000     0.00000
   -76.06023     0.00000     0.00000     0.00000     0.00000
   -76.04923     0.00000     0.00000     0.00000     0.00000
   -76.03823     0.00000     0.00000     0.00000     0.00000
   -76.02723     0.00000     0.00000     0.00000     0.00000
   -76.01623     0.00000     0.00000     0.00000     0.00000
   -76.00523     0.00000     0.00000     0.00000     0.00000
   -75.99423     0.00000     0.00000     0.00000     0.00000
   -75.98323     0.00000     0.00000     0.00000     0.00000
   -75.97223     0.00000     0.00000     0.00000     0.00000
   -75.96223     0.00000     0.00000     0.00000     0.00000
   -75.95123     0.00000     0.00000     0.00000     0.00000
   -75.94023     0.00000     0.00000     0.00000     0.00000
   -75.92923     0.00000     0.00000     0.00000     0.00000
   -75.91823     0.00000     0.00000     0.00000     0.00000
   -75.90723     0.00000     0.00000     0.00000     0.00000
   -75.89623     0.00000     0.00000     0.00000     0.00000
   -75.88523     0.00000     0.00000     0.00000     0.00000
   -75.87423     0.00000     0.00000     0.00000     0.00000
   -75.86423     0.00000     0.00000     0.00000     0.00000
   -75.85323     0.00000     0.00000     0.00000     0.00000
   -75.84223     0.00000     0.00000     0.00000     0.00000
   -75.83123     0.00000     0.00000     0.00000     0.00000
   -75.82023     0.00000     0.00000     0.00000     0.00000
   -75.80923     0.00000     0.00000     0.00000     0.00000
   -75.79823     0.00000     0.00000     0.00000     0.00000
   -75.78723     0.00000     0.00000     0.00000     0.00000
   -75.77623     0.00000     0.00000     0.00000     0.00000
   -75.76623     0.00000     0.00000     0.00000     0.00000
   -75.75523     0.00000     0.00000     0.00000     0.00000
