     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -75.66332     0.00000     0.00000     0.00000     0.00000
   -75.65232     0.00000     0.00000     0.00000     0.00000
   -75.64132     0.00000     0.00000     0.00000     0.00000
   -75.63132     0.00000     0.00000     0.00000     0.00000
   -75.62032     0.00000     0.00000     0.00000     0.00000
   -75.60932     0.00000     0.00000     0.00000     0.00000
   -75.59932     0.00000     0.00000     0.00000     0.00000
   -75.58832     0.00000     0.00000     0.00000     0.00000
   -75.57732     0.00000     0.00000     0.00000     0.00000
   -75.56732     0.00000     0.00000     0.00000     0.00000
   -75.55632     0.00000     0.00000     0.00000     0.00000
   -75.54532     0.00000     0.00000     0.00000     0.00000
   -75.53532     0.00000     0.00000     0.00000     0.00000
   -75.52432     0.00000     0.00000     0.00000     0.00000
   -75.51332     0.00000     0.00000     0.00000     0.00000
   -75.50332     0.00000     0.00000     0.00000     0.00000
   -75.49232     0.00000     0.00000     0.00000     0.00000
   -75.48132     0.00000     0.00000     0.00000     0.00000
   -75.47132     0.00000     0.00000     0.00000     0.00000
   -75.46032     0.00000     0.00000     0.00000     0.00000
   -75.44932     0.00000     0.00000     0.00000     0.00000
   -75.43932     0.00000     0.00000     0.00000     0.00000
   -75.42832     0.00000     0.00000     0.00000     0.00000
   -75.41732     0.00000     0.00000     0.00000     0.00000
   -75.40732     0.00000     0.00000     0.00000     0.00000
   -75.39632     0.00000     0.00000     0.00000     0.00000
   -75.38632     0.00000     0.00000     0.00000     0.00000
   -75.37532     0.00000     0.00000     0.00000     0.00000
   -75.36432     0.00000     0.00000     0.00000     0.00000
   -75.35432     0.00000     0.00000     0.00000     0.00000
   -75.34332     0.00000     0.00000     0.00000     0.00000
   -75.33232     0.00000     0.00000     0.00000     0.00000
   -75.32232     0.00000     0.00000     0.00000     0.00000
   -75.31132     0.00000     0.00000     0.00000     0.00000
   -75.30032     0.00000     0.00000     0.00000     0.00000
   -75.29032     0.00000     0.00000     0.00000     0.00000
   -75.27932     0.00000     0.00000     0.00000     0.00000
   -75.26832     0.00000     0.00000     0.00000     0.00000
   -75.25832     0.00000     0.00000     0.00000     0.00000
   -75.24732     0.00000     0.00000     0.00000     0.00000
   -75.23632     0.00000     0.00000     0.00000     0.00000
   -75.22632     0.00000     0.00000     0.00000     0.00000
   -75.21532     0.00000     0.00000     0.00000     0.00000
   -75.20432     0.00000     0.00000     0.00000     0.00000
   -75.19432     0.00000     0.00000     0.00000     0.00000
   -75.18332     0.00000     0.00000     0.00000     0.00000
   -75.17232     0.00000     0.00000     0.00000     0.00000
   -75.16232     0.00000     0.00000     0.00000     0.00000
   -75.15132     0.00000     0.00000     0.00000     0.00000
   -75.14032     0.00000     0.00000     0.00000     0.00000
   -75.13032     0.00000     0.00000     0.00000     0.00000
   -75.11932     0.00000     0.00000     0.00000     0.00000
