     #Energy       W_all      Mo_all      Re_all      Ti_all
   -81.82141     0.00000     0.00000     0.00000     0.00000
   -81.80941     0.00000     0.00000     0.00000     0.00000
   -81.79841     0.00000     0.00000     0.00000     0.00000
   -81.78741     0.00000     0.00000     0.00000     0.00000
   -81.77541     0.00000     0.00000     0.00000     0.00000
   -81.76441     0.00000     0.00000     0.00000     0.00000
   -81.75241     0.00000     0.00000     0.00000     0.00000
   -81.74141     0.00000     0.00000     0.00000     0.00000
   -81.72941     0.00000     0.00000     0.00000     0.00000
   -81.71841     0.00000     0.00000     0.00000     0.00000
   -81.70641     0.00000     0.00000     0.00000     0.00000
   -81.69541     0.00000     0.00000     0.00000     0.00000
   -81.68341     0.00000     0.00000     0.00000     0.00000
   -81.67241     0.00000     0.00000     0.00000     0.00000
   -81.66041     0.00000     0.00000     0.00000     0.00000
   -81.64941     0.00000     0.00000     0.00000     0.00000
   -81.63741     0.00000     0.00000     0.00000     0.00000
   -81.62641     0.00000     0.00000     0.00000     0.00000
   -81.61441     0.00000     0.00000     0.00000     0.00000
   -81.60341     0.00000     0.00000     0.00000     0.00000
   -81.59141     0.00000     0.00000     0.00000     0.00000
   -81.58041     0.00000     0.00000     0.00000     0.00000
   -81.56941     0.00000     0.00000     0.00000     0.00000
   -81.55741     0.00000     0.00000     0.00000     0.00000
   -81.54641     0.00000     0.00000     0.00000     0.00000
   -81.53441     0.00000     0.00000     0.00000     0.00000
   -81.52341     0.00000     0.00000     0.00000     0.00000
   -81.51141     0.00000     0.00000     0.00000     0.00000
   -81.50041     0.00000     0.00000     0.00000     0.00000
   -81.48841     0.00000     0.00000     0.00000     0.00000
   -81.47741     0.00000     0.00000     0.00000     0.00000
   -81.46541     0.00000     0.00000     0.00000     0.00000
   -81.45441     0.00000     0.00000     0.00000     0.00000
   -81.44241     0.00000     0.00000     0.00000     0.00000
   -81.43141     0.00000     0.00000     0.00000     0.00000
   -81.41941     0.00000     0.00000     0.00000     0.00000
   -81.40841     0.00000     0.00000     0.00000     0.00000
   -81.39641     0.00000     0.00000     0.00000     0.00000
   -81.38541     0.00000     0.00000     0.00000     0.00000
   -81.37341     0.00000     0.00000     0.00000     0.00000
   -81.36241     0.00000     0.00000     0.00000     0.00000
   -81.35141     0.00000     0.00000     0.00000     0.00000
   -81.33941     0.00000     0.00000     0.00000     0.00000
   -81.32841     0.00000     0.00000     0.00000     0.00000
   -81.31641     0.00000     0.00000     0.00000     0.00000
   -81.30541     0.00000     0.00000     0.00000     0.00000
   -81.29341     0.00000     0.00000     0.00000     0.00000
   -81.28241     0.00000     0.00000     0.00000     0.00000
   -81.27041     0.00000     0.00000     0.00000     0.00000
   -81.25941     0.00000     0.00000     0.00000     0.00000
   -81.24741     0.00000     0.00000     0.00000     0.00000
