     #Energy       W_all      Mo_all      Ir_all      Ti_all
   -74.08282   186.50760     0.00642     0.00602     0.00036
   -74.07182     0.00000     0.00000     0.00000     0.00000
   -74.06182     0.00000     0.00000     0.00000     0.00000
   -74.05082   373.24878     0.01178     0.00665     0.00039
   -74.03982     0.00000     0.00000     0.00000     0.00000
   -74.02982     0.00000     0.00000     0.00000     0.00000
   -74.01882   186.67039     0.00672     0.00174     0.00003
   -74.00782   186.62596     0.00211     0.00414     0.00078
   -73.99782   186.54383     0.00592     0.00624     0.00041
   -73.98682     0.00000     0.00000     0.00000     0.00000
   -73.97582     0.00000     0.00000     0.00000     0.00000
   -73.96482     0.00000     0.00000     0.00000     0.00000
   -73.95482   186.66616     0.01008     0.00248     0.00058
   -73.94382     0.00000     0.00000     0.00000     0.00000
   -73.93282     0.00000     0.00000     0.00000     0.00000
   -73.92282     0.00000     0.00000     0.00000     0.00000
   -73.91182     0.00000     0.00000     0.00000     0.00000
   -73.90082   186.61490     0.00517     0.00352     0.00156
   -73.89082   186.53671     0.00342     0.00234     0.00099
   -73.87982     0.00000     0.00000     0.00000     0.00000
   -73.86882   186.63181     0.00393     0.00088     0.00056
   -73.85882     0.00000     0.00000     0.00000     0.00000
   -73.84782   186.69159     0.00309     0.00177     0.00074
   -73.83682     0.00000     0.00000     0.00000     0.00000
   -73.82582     0.00000     0.00000     0.00000     0.00000
   -73.81582     0.00000     0.00000     0.00000     0.00000
   -73.80482   373.28866     0.00934     0.00178     0.00259
   -73.79382     0.00000     0.00000     0.00000     0.00000
   -73.78382     0.00000     0.00000     0.00000     0.00000
   -73.77282     0.00000     0.00000     0.00000     0.00000
   -73.76182     0.00000     0.00000     0.00000     0.00000
   -73.75182   186.65157     0.00784     0.00014     0.00123
   -73.74082     0.00000     0.00000     0.00000     0.00000
   -73.72982     0.00000     0.00000     0.00000     0.00000
   -73.71982     0.00000     0.00000     0.00000     0.00000
   -73.70882     0.00000     0.00000     0.00000     0.00000
   -73.69782     0.00000     0.00000     0.00000     0.00000
   -73.68682     0.00000     0.00000     0.00000     0.00000
   -73.67682     0.00000     0.00000     0.00000     0.00000
   -73.66582     0.00000     0.00000     0.00000     0.00000
   -73.65482     0.00000     0.00000     0.00000     0.00000
   -73.64482     0.00000     0.00000     0.00000     0.00000
   -73.63382     0.00000     0.00000     0.00000     0.00000
   -73.62282     0.00000     0.00000     0.00000     0.00000
   -73.61282     0.00000     0.00000     0.00000     0.00000
   -73.60182     0.00000     0.00000     0.00000     0.00000
   -73.59082     0.00000     0.00000     0.00000     0.00000
   -73.58082     0.00000     0.00000     0.00000     0.00000
   -73.56982     0.00000     0.00000     0.00000     0.00000
   -73.55882     0.00000     0.00000     0.00000     0.00000
   -73.54782     0.00000     0.00000     0.00000     0.00000
   -73.53782     0.00000     0.00000     0.00000     0.00000
   -73.52682     0.00000     0.00000     0.00000     0.00000
   -73.51582     0.00000     0.00000     0.00000     0.00000
