     #Energy       W_all      Mo_all      Rh_all      Zr_all
   -75.58615     0.00000     0.00000     0.00000     0.00000
   -75.57515     0.00000     0.00000     0.00000     0.00000
   -75.56415     0.00000     0.00000     0.00000     0.00000
   -75.55315     0.00000     0.00000     0.00000     0.00000
   -75.54315     0.00000     0.00000     0.00000     0.00000
   -75.53215     0.00000     0.00000     0.00000     0.00000
   -75.52115     0.00000     0.00000     0.00000     0.00000
   -75.51015     0.00000     0.00000     0.00000     0.00000
   -75.50015     0.00000     0.00000     0.00000     0.00000
   -75.48915     0.00000     0.00000     0.00000     0.00000
   -75.47815     0.00000     0.00000     0.00000     0.00000
   -75.46815     0.00000     0.00000     0.00000     0.00000
   -75.45715     0.00000     0.00000     0.00000     0.00000
   -75.44615     0.00000     0.00000     0.00000     0.00000
   -75.43515     0.00000     0.00000     0.00000     0.00000
   -75.42515     0.00000     0.00000     0.00000     0.00000
   -75.41415     0.00000     0.00000     0.00000     0.00000
   -75.40315     0.00000     0.00000     0.00000     0.00000
   -75.39215     0.00000     0.00000     0.00000     0.00000
   -75.38215     0.00000     0.00000     0.00000     0.00000
   -75.37115     0.00000     0.00000     0.00000     0.00000
   -75.36015     0.00000     0.00000     0.00000     0.00000
   -75.35015     0.00000     0.00000     0.00000     0.00000
   -75.33915     0.00000     0.00000     0.00000     0.00000
   -75.32815     0.00000     0.00000     0.00000     0.00000
   -75.31715     0.00000     0.00000     0.00000     0.00000
   -75.30715     0.00000     0.00000     0.00000     0.00000
   -75.29615     0.00000     0.00000     0.00000     0.00000
   -75.28515     0.00000     0.00000     0.00000     0.00000
   -75.27415     0.00000     0.00000     0.00000     0.00000
   -75.26415     0.00000     0.00000     0.00000     0.00000
   -75.25315     0.00000     0.00000     0.00000     0.00000
   -75.24215     0.00000     0.00000     0.00000     0.00000
   -75.23215     0.00000     0.00000     0.00000     0.00000
   -75.22115     0.00000     0.00000     0.00000     0.00000
   -75.21015     0.00000     0.00000     0.00000     0.00000
   -75.19915     0.00000     0.00000     0.00000     0.00000
   -75.18915     0.00000     0.00000     0.00000     0.00000
   -75.17815     0.00000     0.00000     0.00000     0.00000
   -75.16715     0.00000     0.00000     0.00000     0.00000
   -75.15615     0.00000     0.00000     0.00000     0.00000
   -75.14615     0.00000     0.00000     0.00000     0.00000
   -75.13515     0.00000     0.00000     0.00000     0.00000
   -75.12415     0.00000     0.00000     0.00000     0.00000
   -75.11415     0.00000     0.00000     0.00000     0.00000
   -75.10315     0.00000     0.00000     0.00000     0.00000
   -75.09215     0.00000     0.00000     0.00000     0.00000
   -75.08115     0.00000     0.00000     0.00000     0.00000
   -75.07115     0.00000     0.00000     0.00000     0.00000
   -75.06015     0.00000     0.00000     0.00000     0.00000
   -75.04915     0.00000     0.00000     0.00000     0.00000
   -75.03815     0.00000     0.00000     0.00000     0.00000
   -75.02815     0.00000     0.00000     0.00000     0.00000
   -75.01715     0.00000     0.00000     0.00000     0.00000
   -75.00615     0.00000     0.00000     0.00000     0.00000
   -74.99515     0.00000     0.00000     0.00000     0.00000
   -74.98515     0.00000     0.00000     0.00000     0.00000
   -74.97415     0.00000     0.00000     0.00000     0.00000
   -74.96315     0.00000     0.00000     0.00000     0.00000
   -74.95315     0.00000     0.00000     0.00000     0.00000
   -74.94215     0.00000     0.00000     0.00000     0.00000
