     #Energy       W_all      Mo_all      Re_all      Zr_all
   -80.86840     0.00000     0.00000     0.00000     0.00000
   -80.85640     0.00000     0.00000     0.00000     0.00000
   -80.84540     0.00000     0.00000     0.00000     0.00000
   -80.83340     0.00000     0.00000     0.00000     0.00000
   -80.82140     0.00000     0.00000     0.00000     0.00000
   -80.81040     0.00000     0.00000     0.00000     0.00000
   -80.79840     0.00000     0.00000     0.00000     0.00000
   -80.78740     0.00000     0.00000     0.00000     0.00000
   -80.77540     0.00000     0.00000     0.00000     0.00000
   -80.76440     0.00000     0.00000     0.00000     0.00000
   -80.75240     0.00000     0.00000     0.00000     0.00000
   -80.74040     0.00000     0.00000     0.00000     0.00000
   -80.72940     0.00000     0.00000     0.00000     0.00000
   -80.71740     0.00000     0.00000     0.00000     0.00000
   -80.70640     0.00000     0.00000     0.00000     0.00000
   -80.69440     0.00000     0.00000     0.00000     0.00000
   -80.68240     0.00000     0.00000     0.00000     0.00000
   -80.67140     0.00000     0.00000     0.00000     0.00000
   -80.65940     0.00000     0.00000     0.00000     0.00000
   -80.64840     0.00000     0.00000     0.00000     0.00000
   -80.63640     0.00000     0.00000     0.00000     0.00000
   -80.62540     0.00000     0.00000     0.00000     0.00000
   -80.61340     0.00000     0.00000     0.00000     0.00000
   -80.60140     0.00000     0.00000     0.00000     0.00000
   -80.59040     0.00000     0.00000     0.00000     0.00000
   -80.57840     0.00000     0.00000     0.00000     0.00000
   -80.56740     0.00000     0.00000     0.00000     0.00000
   -80.55540     0.00000     0.00000     0.00000     0.00000
   -80.54340     0.00000     0.00000     0.00000     0.00000
   -80.53240     0.00000     0.00000     0.00000     0.00000
   -80.52040     0.00000     0.00000     0.00000     0.00000
   -80.50940     0.00000     0.00000     0.00000     0.00000
   -80.49740     0.00000     0.00000     0.00000     0.00000
   -80.48640     0.00000     0.00000     0.00000     0.00000
   -80.47440     0.00000     0.00000     0.00000     0.00000
   -80.46240     0.00000     0.00000     0.00000     0.00000
   -80.45140     0.00000     0.00000     0.00000     0.00000
   -80.43940     0.00270     0.00230   200.62042     0.00002
   -80.42840     0.00000     0.00000     0.00000     0.00000
   -80.41640     0.00000     0.00000     0.00000     0.00000
   -80.40440     0.00000     0.00000     0.00000     0.00000
   -80.39340     0.00000     0.00000     0.00000     0.00000
