     #Energy       W_all      Mo_all      Os_all
   -72.78505     0.00000     0.00000     0.00000
   -72.77405     0.00000     0.00000     0.00000
   -72.76305     0.00000     0.00000     0.00000
   -72.75305     0.00000     0.00000     0.00000
   -72.74205     0.00000     0.00000     0.00000
   -72.73105     0.00000     0.00000     0.00000
   -72.72105     0.00000     0.00000     0.00000
   -72.71005     0.00000     0.00000     0.00000
   -72.69905     0.00000     0.00000     0.00000
   -72.68805     0.00000     0.00000     0.00000
   -72.67805     0.00000     0.00000     0.00000
   -72.66705     0.00000     0.00000     0.00000
   -72.65605     0.00000     0.00000     0.00000
   -72.64605     0.00000     0.00000     0.00000
   -72.63505     0.00000     0.00000     0.00000
   -72.62405     0.00000     0.00000     0.00000
   -72.61305     0.00000     0.00000     0.00000
   -72.60305     0.00000     0.00000     0.00000
   -72.59205     0.00000     0.00000     0.00000
   -72.58105     0.00000     0.00000     0.00000
   -72.57105     0.00000     0.00000     0.00000
   -72.56005     0.00000     0.00000     0.00000
   -72.54905     0.00000     0.00000     0.00000
   -72.53905     0.00000     0.00000     0.00000
   -72.52805     0.00000     0.00000     0.00000
   -72.51705     0.00000     0.00000     0.00000
   -72.50605     0.00000     0.00000     0.00000
   -72.49605     0.00000     0.00000     0.00000
   -72.48505     0.00000     0.00000     0.00000
   -72.47405     0.00000     0.00000     0.00000
   -72.46405     0.00000     0.00000     0.00000
   -72.45305     0.00000     0.00000     0.00000
   -72.44205     0.00000     0.00000     0.00000
   -72.43205     0.00000     0.00000     0.00000
   -72.42105     0.00000     0.00000     0.00000
   -72.41005     0.00000     0.00000     0.00000
   -72.39905     0.00000     0.00000     0.00000
   -72.38905     0.00000     0.00000     0.00000
   -72.37805     0.00000     0.00000     0.00000
   -72.36705     0.00000     0.00000     0.00000
   -72.35705     0.00000     0.00000     0.00000
   -72.34605     0.00000     0.00000     0.00000
   -72.33505     0.00000     0.00000     0.00000
   -72.32405     0.00000     0.00000     0.00000
   -72.31405     0.00000     0.00000     0.00000
   -72.30305     0.00000     0.00000     0.00000
   -72.29205     0.00000     0.00000     0.00000
   -72.28205     0.00000     0.00000     0.00000
   -72.27105     0.00000     0.00000     0.00000
   -72.26005     0.00000     0.00000     0.00000
   -72.25005     0.00000     0.00000     0.00000
   -72.23905     0.00000     0.00000     0.00000
   -72.22805     0.00000     0.00000     0.00000
   -72.21705     0.00000     0.00000     0.00000
   -72.20705     0.00000     0.00000     0.00000
   -72.19605     0.00000     0.00000     0.00000
   -72.18505     0.00000     0.00000     0.00000
   -72.17505     0.00000     0.00000     0.00000
   -72.16405     0.00000     0.00000     0.00000
   -72.15305     0.00000     0.00000     0.00000
   -72.14205     0.00000     0.00000     0.00000
   -72.13205     0.00000     0.00000     0.00000
   -72.12105     0.00000     0.00000     0.00000
   -72.11005     0.00000     0.00000     0.00000
   -72.10005     0.00000     0.00000     0.00000
   -72.08905     0.00000     0.00000     0.00000
   -72.07805     0.00000     0.00000     0.00000
   -72.06805     0.00000     0.00000     0.00000
   -72.05705     0.00000     0.00000     0.00000
   -72.04605     0.00000     0.00000     0.00000
   -72.03505     0.00000     0.00000     0.00000
   -72.02505     0.00000     0.00000     0.00000
   -72.01405     0.00000     0.00000     0.00000
   -72.00305     0.00000     0.00000     0.00000
   -71.99305     0.00000     0.00000     0.00000
   -71.98205     0.00000     0.00000     0.00000
   -71.97105     0.00000     0.00000     0.00000
   -71.96105     0.00000     0.00000     0.00000
   -71.95005     0.00000     0.00000     0.00000
   -71.93905     0.00000     0.00000     0.00000
   -71.92805     0.00000     0.00000     0.00000
   -71.91805     0.00000     0.00000     0.00000
   -71.90705     0.00000     0.00000     0.00000
   -71.89605     0.00000     0.00000     0.00000
   -71.88605     0.00000     0.00000     0.00000
   -71.87505     0.00000     0.00000     0.00000
   -71.86405     0.00000     0.00000     0.00000
   -71.85305     0.00000     0.00000     0.00000
   -71.84305     0.00000     0.00000     0.00000
   -71.83205     0.00000     0.00000     0.00000
   -71.82105     0.00000     0.00000     0.00000
   -71.81105     0.00000     0.00000     0.00000
   -71.80005     0.00000     0.00000     0.00000
   -71.78905     0.00000     0.00000     0.00000
   -71.77905     0.00000     0.00000     0.00000
   -71.76805     0.00000     0.00000     0.00000
   -71.75705     0.00000     0.00000     0.00000
   -71.74605     0.00000     0.00000     0.00000
   -71.73605     0.00000     0.00000     0.00000
   -71.72505     0.00000     0.00000     0.00000
   -71.71405     0.00000     0.00000     0.00000
   -71.70405     0.00000     0.00000     0.00000
   -71.69305     0.00000     0.00000     0.00000
   -71.68205     0.00000     0.00000     0.00000
   -71.67105     0.00000     0.00000     0.00000
   -71.66105     0.00000     0.00000     0.00000
   -71.65005     0.00000     0.00000     0.00000
   -71.63905     0.00000     0.00000     0.00000
   -71.62905     0.00000     0.00000     0.00000
   -71.61805     0.00000     0.00000     0.00000
   -71.60705     0.00000     0.00000     0.00000
   -71.59705     0.00000     0.00000     0.00000
   -71.58605     0.00000     0.00000     0.00000
   -71.57505     0.00000     0.00000     0.00000
   -71.56405     0.00000     0.00000     0.00000
   -71.55405     0.00000     0.00000     0.00000
