     #Energy       W_all      Mo_all      Pd_all
   -75.55135     0.00000     0.00000     0.00000
   -75.54035     0.00000     0.00000     0.00000
   -75.53035     0.00000     0.00000     0.00000
   -75.51935     0.00000     0.00000     0.00000
   -75.50935     0.00000     0.00000     0.00000
   -75.49835     0.00000     0.00000     0.00000
   -75.48735     0.00000     0.00000     0.00000
   -75.47735     0.00000     0.00000     0.00000
   -75.46635     0.00000     0.00000     0.00000
   -75.45635     0.00000     0.00000     0.00000
   -75.44535     0.00000     0.00000     0.00000
   -75.43535     0.00000     0.00000     0.00000
   -75.42435     0.00000     0.00000     0.00000
   -75.41335     0.00000     0.00000     0.00000
   -75.40335     0.00000     0.00000     0.00000
   -75.39235     0.00000     0.00000     0.00000
   -75.38235     0.00000     0.00000     0.00000
   -75.37135     0.00000     0.00000     0.00000
   -75.36035     0.00000     0.00000     0.00000
   -75.35035     0.00000     0.00000     0.00000
   -75.33935     0.00000     0.00000     0.00000
   -75.32935     0.00000     0.00000     0.00000
   -75.31835     0.00000     0.00000     0.00000
   -75.30835     0.00000     0.00000     0.00000
   -75.29735     0.00000     0.00000     0.00000
   -75.28635     0.00000     0.00000     0.00000
   -75.27635     0.00000     0.00000     0.00000
   -75.26535     0.00000     0.00000     0.00000
   -75.25535     0.00000     0.00000     0.00000
   -75.24435     0.00000     0.00000     0.00000
   -75.23335     0.00000     0.00000     0.00000
   -75.22335     0.00000     0.00000     0.00000
   -75.21235     0.00000     0.00000     0.00000
   -75.20235     0.00000     0.00000     0.00000
   -75.19135     0.00000     0.00000     0.00000
   -75.18035     0.00000     0.00000     0.00000
   -75.17035     0.00000     0.00000     0.00000
   -75.15935     0.00000     0.00000     0.00000
   -75.14935     0.00000     0.00000     0.00000
   -75.13835     0.00000     0.00000     0.00000
   -75.12835     0.00000     0.00000     0.00000
   -75.11735     0.00000     0.00000     0.00000
   -75.10635     0.00000     0.00000     0.00000
   -75.09635     0.00000     0.00000     0.00000
   -75.08535     0.00000     0.00000     0.00000
   -75.07535     0.00000     0.00000     0.00000
   -75.06435     0.00000     0.00000     0.00000
   -75.05335     0.00000     0.00000     0.00000
   -75.04335     0.00000     0.00000     0.00000
   -75.03235     0.00000     0.00000     0.00000
   -75.02235     0.00000     0.00000     0.00000
   -75.01135     0.00000     0.00000     0.00000
   -75.00035     0.00000     0.00000     0.00000
   -74.99035     0.00000     0.00000     0.00000
   -74.97935     0.00000     0.00000     0.00000
   -74.96935     0.00000     0.00000     0.00000
   -74.95835     0.00000     0.00000     0.00000
   -74.94835     0.00000     0.00000     0.00000
   -74.93735     0.00000     0.00000     0.00000
   -74.92635     0.00000     0.00000     0.00000
   -74.91635     0.00000     0.00000     0.00000
   -74.90535     0.00000     0.00000     0.00000
   -74.89535     0.00000     0.00000     0.00000
   -74.88435     0.00000     0.00000     0.00000
   -74.87335     0.00000     0.00000     0.00000
   -74.86335     0.00000     0.00000     0.00000
   -74.85235     0.00000     0.00000     0.00000
   -74.84235     0.00000     0.00000     0.00000
   -74.83135     0.00000     0.00000     0.00000
   -74.82135     0.00000     0.00000     0.00000
   -74.81035     0.00000     0.00000     0.00000
   -74.79935     0.00000     0.00000     0.00000
   -74.78935     0.00000     0.00000     0.00000
   -74.77835     0.00000     0.00000     0.00000
   -74.76835     0.00000     0.00000     0.00000
   -74.75735     0.00000     0.00000     0.00000
   -74.74635     0.00000     0.00000     0.00000
   -74.73635     0.00000     0.00000     0.00000
   -74.72535     0.00000     0.00000     0.00000
   -74.71535     0.00000     0.00000     0.00000
   -74.70435     0.00000     0.00000     0.00000
   -74.69335     0.00000     0.00000     0.00000
   -74.68335     0.00000     0.00000     0.00000
   -74.67235     0.00000     0.00000     0.00000
   -74.66235     0.00000     0.00000     0.00000
   -74.65135     0.00000     0.00000     0.00000
   -74.64135     0.00000     0.00000     0.00000
   -74.63035     0.00000     0.00000     0.00000
   -74.61935     0.00000     0.00000     0.00000
   -74.60935     0.00000     0.00000     0.00000
   -74.59835     0.00000     0.00000     0.00000
   -74.58835     0.00000     0.00000     0.00000
   -74.57735     0.00000     0.00000     0.00000
   -74.56635     0.00000     0.00000     0.00000
   -74.55635     0.00000     0.00000     0.00000
   -74.54535     0.00000     0.00000     0.00000
   -74.53535     0.00000     0.00000     0.00000
   -74.52435     0.00000     0.00000     0.00000
   -74.51435     0.00000     0.00000     0.00000
   -74.50335     0.00000     0.00000     0.00000
   -74.49235     0.00000     0.00000     0.00000
   -74.48235     0.00000     0.00000     0.00000
   -74.47135     0.00000     0.00000     0.00000
   -74.46135     0.00000     0.00000     0.00000
   -74.45035     0.00000     0.00000     0.00000
   -74.43935     0.00000     0.00000     0.00000
   -74.42935     0.00000     0.00000     0.00000
   -74.41835     0.00000     0.00000     0.00000
   -74.40835     0.00000     0.00000     0.00000
   -74.39735     0.00000     0.00000     0.00000
   -74.38635     0.00000     0.00000     0.00000
   -74.37635     0.00000     0.00000     0.00000
   -74.36535     0.00000     0.00000     0.00000
   -74.35535     0.00000     0.00000     0.00000
   -74.34435     0.00000     0.00000     0.00000
   -74.33435     0.00000     0.00000     0.00000
   -74.32335     0.00000     0.00000     0.00000
   -74.31235     0.00000     0.00000     0.00000
   -74.30235     0.00000     0.00000     0.00000
   -74.29135     0.00000     0.00000     0.00000
   -74.28135     0.00000     0.00000     0.00000
   -74.27035     0.00000     0.00000     0.00000
   -74.25935     0.00000     0.00000     0.00000
   -74.24935     0.00000     0.00000     0.00000
   -74.23835     0.00000     0.00000     0.00000
   -74.22835     0.00000     0.00000     0.00000
   -74.21735     0.00000     0.00000     0.00000
   -74.20735     0.00000     0.00000     0.00000
   -74.19635     0.00000     0.00000     0.00000
   -74.18535     0.00000     0.00000     0.00000
   -74.17535     0.00000     0.00000     0.00000
   -74.16435     0.00000     0.00000     0.00000
   -74.15435     0.00000     0.00000     0.00000
   -74.14335   188.39018     0.00550     0.00004
   -74.13235     0.00000     0.00000     0.00000
   -74.12235     0.00000     0.00000     0.00000
