     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -76.28219     0.00000     0.00000     0.00000     0.00000
   -76.27119     0.00000     0.00000     0.00000     0.00000
   -76.26119     0.00000     0.00000     0.00000     0.00000
   -76.25019     0.00000     0.00000     0.00000     0.00000
   -76.24019     0.00000     0.00000     0.00000     0.00000
   -76.22919     0.00000     0.00000     0.00000     0.00000
   -76.21819     0.00000     0.00000     0.00000     0.00000
   -76.20819     0.00000     0.00000     0.00000     0.00000
   -76.19719     0.00000     0.00000     0.00000     0.00000
   -76.18719     0.00000     0.00000     0.00000     0.00000
   -76.17619     0.00000     0.00000     0.00000     0.00000
   -76.16619     0.00000     0.00000     0.00000     0.00000
   -76.15519     0.00000     0.00000     0.00000     0.00000
   -76.14419     0.00000     0.00000     0.00000     0.00000
   -76.13419     0.00000     0.00000     0.00000     0.00000
   -76.12319     0.00000     0.00000     0.00000     0.00000
   -76.11319     0.00000     0.00000     0.00000     0.00000
   -76.10219     0.00000     0.00000     0.00000     0.00000
   -76.09219     0.00000     0.00000     0.00000     0.00000
   -76.08119     0.00000     0.00000     0.00000     0.00000
   -76.07019     0.00000     0.00000     0.00000     0.00000
   -76.06019     0.00000     0.00000     0.00000     0.00000
   -76.04919     0.00000     0.00000     0.00000     0.00000
   -76.03919     0.00000     0.00000     0.00000     0.00000
   -76.02819     0.00000     0.00000     0.00000     0.00000
   -76.01819     0.00000     0.00000     0.00000     0.00000
   -76.00719     0.00000     0.00000     0.00000     0.00000
   -75.99619     0.00000     0.00000     0.00000     0.00000
   -75.98619     0.00000     0.00000     0.00000     0.00000
   -75.97519     0.00000     0.00000     0.00000     0.00000
   -75.96519     0.00000     0.00000     0.00000     0.00000
   -75.95419     0.00000     0.00000     0.00000     0.00000
   -75.94419     0.00000     0.00000     0.00000     0.00000
   -75.93319     0.00000     0.00000     0.00000     0.00000
   -75.92219     0.00000     0.00000     0.00000     0.00000
   -75.91219     0.00000     0.00000     0.00000     0.00000
   -75.90119     0.00000     0.00000     0.00000     0.00000
   -75.89119     0.00000     0.00000     0.00000     0.00000
   -75.88019     0.00000     0.00000     0.00000     0.00000
   -75.87019     0.00000     0.00000     0.00000     0.00000
   -75.85919     0.00000     0.00000     0.00000     0.00000
   -75.84819     0.00000     0.00000     0.00000     0.00000
   -75.83819     0.00000     0.00000     0.00000     0.00000
   -75.82719     0.00000     0.00000     0.00000     0.00000
   -75.81719     0.00000     0.00000     0.00000     0.00000
   -75.80619     0.00000     0.00000     0.00000     0.00000
   -75.79519     0.00000     0.00000     0.00000     0.00000
   -75.78519     0.00000     0.00000     0.00000     0.00000
   -75.77419     0.00000     0.00000     0.00000     0.00000
   -75.76419     0.00000     0.00000     0.00000     0.00000
   -75.75319     0.00000     0.00000     0.00000     0.00000
   -75.74319     0.00000     0.00000     0.00000     0.00000
   -75.73219     0.00000     0.00000     0.00000     0.00000
   -75.72119     0.00000     0.00000     0.00000     0.00000
   -75.71119     0.00000     0.00000     0.00000     0.00000
   -75.70019     0.00000     0.00000     0.00000     0.00000
   -75.69019     0.00000     0.00000     0.00000     0.00000
   -75.67919     0.00000     0.00000     0.00000     0.00000
   -75.66919     0.00000     0.00000     0.00000     0.00000
   -75.65819     0.00000     0.00000     0.00000     0.00000
   -75.64719     0.00000     0.00000     0.00000     0.00000
   -75.63719     0.00000     0.00000     0.00000     0.00000
