     #Energy       W_all      Mo_all      Os_all      Hf_all
   -75.56192     0.00000     0.00000     0.00000     0.00000
   -75.55092     0.00000     0.00000     0.00000     0.00000
   -75.53992     0.00000     0.00000     0.00000     0.00000
   -75.52892     0.00000     0.00000     0.00000     0.00000
   -75.51792     0.00000     0.00000     0.00000     0.00000
   -75.50692     0.00000     0.00000     0.00000     0.00000
   -75.49592     0.00000     0.00000     0.00000     0.00000
   -75.48492     0.00000     0.00000     0.00000     0.00000
   -75.47392     0.00000     0.00000     0.00000     0.00000
   -75.46292     0.00000     0.00000     0.00000     0.00000
   -75.45192     0.00000     0.00000     0.00000     0.00000
   -75.44092     0.00000     0.00000     0.00000     0.00000
   -75.42992     0.00000     0.00000     0.00000     0.00000
   -75.41892     0.00000     0.00000     0.00000     0.00000
   -75.40792     0.00000     0.00000     0.00000     0.00000
   -75.39692     0.00000     0.00000     0.00000     0.00000
   -75.38592     0.00000     0.00000     0.00000     0.00000
   -75.37492     0.00000     0.00000     0.00000     0.00000
   -75.36392     0.00000     0.00000     0.00000     0.00000
   -75.35292     0.00000     0.00000     0.00000     0.00000
   -75.34192     0.00000     0.00000     0.00000     0.00000
   -75.33092     0.00000     0.00000     0.00000     0.00000
   -75.31992     0.00000     0.00000     0.00000     0.00000
   -75.30892     0.00000     0.00000     0.00000     0.00000
   -75.29792     0.00000     0.00000     0.00000     0.00000
   -75.28692     0.00000     0.00000     0.00000     0.00000
   -75.27592     0.00000     0.00000     0.00000     0.00000
   -75.26492     0.00000     0.00000     0.00000     0.00000
   -75.25392     0.00000     0.00000     0.00000     0.00000
   -75.24292     0.00000     0.00000     0.00000     0.00000
   -75.23192     0.00000     0.00000     0.00000     0.00000
   -75.22092     0.00000     0.00000     0.00000     0.00000
   -75.20992     0.00000     0.00000     0.00000     0.00000
   -75.19892     0.00000     0.00000     0.00000     0.00000
   -75.18792     0.00000     0.00000     0.00000     0.00000
   -75.17692     0.00000     0.00000     0.00000     0.00000
   -75.16592     0.00000     0.00000     0.00000     0.00000
   -75.15492     0.00000     0.00000     0.00000     0.00000
   -75.14392     0.00000     0.00000     0.00000     0.00000
   -75.13292     0.00000     0.00000     0.00000     0.00000
   -75.12192     0.00000     0.00000     0.00000     0.00000
   -75.11092     0.00000     0.00000     0.00000     0.00000
   -75.09992     0.00000     0.00000     0.00000     0.00000
   -75.08892     0.00000     0.00000     0.00000     0.00000
   -75.07792     0.00000     0.00000     0.00000     0.00000
   -75.06692     0.00000     0.00000     0.00000     0.00000
   -75.05592     0.00000     0.00000     0.00000     0.00000
   -75.04492     0.00000     0.00000     0.00000     0.00000
   -75.03392     0.00000     0.00000     0.00000     0.00000
   -75.02292     0.00000     0.00000     0.00000     0.00000
   -75.01192     0.00000     0.00000     0.00000     0.00000
   -75.00092     0.00000     0.00000     0.00000     0.00000
   -74.98992     0.00000     0.00000     0.00000     0.00000
   -74.97892     0.00000     0.00000     0.00000     0.00000
   -74.96792     0.00000     0.00000     0.00000     0.00000
   -74.95692     0.00000     0.00000     0.00000     0.00000
   -74.94592     0.00000     0.00000     0.00000     0.00000
   -74.93492     0.00000     0.00000     0.00000     0.00000
   -74.92392     0.00000     0.00000     0.00000     0.00000
   -74.91292     0.00000     0.00000     0.00000     0.00000
   -74.90192     0.00000     0.00000     0.00000     0.00000
   -74.89092     0.00000     0.00000     0.00000     0.00000
   -74.87992     0.00000     0.00000     0.00000     0.00000
   -74.86892     0.00000     0.00000     0.00000     0.00000
   -74.85792     0.00000     0.00000     0.00000     0.00000
   -74.84692     0.00000     0.00000     0.00000     0.00000
   -74.83592     0.00000     0.00000     0.00000     0.00000
   -74.82492     0.00000     0.00000     0.00000     0.00000
   -74.81392     0.00000     0.00000     0.00000     0.00000
   -74.80292     0.00000     0.00000     0.00000     0.00000
   -74.79192     0.00000     0.00000     0.00000     0.00000
   -74.78092     0.00000     0.00000     0.00000     0.00000
   -74.76992     0.00000     0.00000     0.00000     0.00000
   -74.75892     0.00000     0.00000     0.00000     0.00000
   -74.74792     0.00000     0.00000     0.00000     0.00000
   -74.73692     0.00000     0.00000     0.00000     0.00000
   -74.72592     0.00000     0.00000     0.00000     0.00000
   -74.71492     0.00000     0.00000     0.00000     0.00000
   -74.70292     0.00000     0.00000     0.00000     0.00000
   -74.69192     0.00000     0.00000     0.00000     0.00000
   -74.68092     0.00000     0.00000     0.00000     0.00000
   -74.66992     0.00000     0.00000     0.00000     0.00000
   -74.65892     0.00000     0.00000     0.00000     0.00000
   -74.64792     0.00000     0.00000     0.00000     0.00000
   -74.63692     0.00000     0.00000     0.00000     0.00000
   -74.62592     0.00000     0.00000     0.00000     0.00000
   -74.61492     0.00000     0.00000     0.00000     0.00000
   -74.60392     0.00000     0.00000     0.00000     0.00000
   -74.59292     0.00000     0.00000     0.00000     0.00000
   -74.58192     0.00000     0.00000     0.00000     0.00000
   -74.57092     0.00000     0.00000     0.00000     0.00000
   -74.55992     0.00000     0.00000     0.00000     0.00000
   -74.54892     0.00000     0.00000     0.00000     0.00000
   -74.53792     0.00000     0.00000     0.00000     0.00000
   -74.52692     0.00000     0.00000     0.00000     0.00000
   -74.51592     0.00000     0.00000     0.00000     0.00000
   -74.50492     0.00000     0.00000     0.00000     0.00000
   -74.49392     0.00000     0.00000     0.00000     0.00000
   -74.48292     0.00000     0.00000     0.00000     0.00000
   -74.47192     0.00000     0.00000     0.00000     0.00000
   -74.46092     0.00000     0.00000     0.00000     0.00000
   -74.44992     0.00000     0.00000     0.00000     0.00000
   -74.43892     0.00000     0.00000     0.00000     0.00000
   -74.42792     0.00000     0.00000     0.00000     0.00000
   -74.41692     0.00000     0.00000     0.00000     0.00000
   -74.40592     0.00000     0.00000     0.00000     0.00000
   -74.39492     0.00000     0.00000     0.00000     0.00000
   -74.38392     0.00000     0.00000     0.00000     0.00000
   -74.37292     0.00000     0.00000     0.00000     0.00000
   -74.36192     0.00000     0.00000     0.00000     0.00000
   -74.35092     0.00000     0.00000     0.00000     0.00000
   -74.33992     0.00000     0.00000     0.00000     0.00000
   -74.32892     0.00000     0.00000     0.00000     0.00000
   -74.31792     0.00000     0.00000     0.00000     0.00000
   -74.30692     0.00000     0.00000     0.00000     0.00000
   -74.29592     0.00000     0.00000     0.00000     0.00000
   -74.28492     0.00000     0.00000     0.00000     0.00000
   -74.27392     0.00000     0.00000     0.00000     0.00000
   -74.26292     0.00000     0.00000     0.00000     0.00000
   -74.25192     0.00000     0.00000     0.00000     0.00000
   -74.24092   181.11059     0.00815     0.00344     0.00001
   -74.22992     0.00000     0.00000     0.00000     0.00000
   -74.21892     0.00000     0.00000     0.00000     0.00000
   -74.20792     0.00000     0.00000     0.00000     0.00000
   -74.19692   362.24319     0.01336     0.00770     0.00009
   -74.18592     0.00000     0.00000     0.00000     0.00000
   -74.17492     0.00000     0.00000     0.00000     0.00000
   -74.16392     0.00000     0.00000     0.00000     0.00000
   -74.15292   181.17485     0.00922     0.00353     0.00000
   -74.14192     0.00000     0.00000     0.00000     0.00000
   -74.13092     0.00000     0.00000     0.00000     0.00000
   -74.11992     0.00000     0.00000     0.00000     0.00000
   -74.10892     0.00000     0.00000     0.00000     0.00000
   -74.09792   181.16659     0.00262     0.01158     0.00150
   -74.08692     0.00000     0.00000     0.00000     0.00000
   -74.07592   181.15379     0.00235     0.01061     0.00150
   -74.06492     0.00000     0.00000     0.00000     0.00000
   -74.05392     0.00000     0.00000     0.00000     0.00000
   -74.04292     0.00000     0.00000     0.00000     0.00000
   -74.03192     0.00000     0.00000     0.00000     0.00000
   -74.02092   181.16588     0.00501     0.00275     0.00204
   -74.00992     0.00000     0.00000     0.00000     0.00000
   -73.99892     0.00000     0.00000     0.00000     0.00000
   -73.98792     0.00000     0.00000     0.00000     0.00000
   -73.97692   181.13329     0.00289     0.00077     0.00045
   -73.96592     0.00000     0.00000     0.00000     0.00000
   -73.95492     0.00000     0.00000     0.00000     0.00000
   -73.94392     0.00000     0.00000     0.00000     0.00000
   -73.93292     0.00000     0.00000     0.00000     0.00000
   -73.92192   181.18967     0.00354     0.00276     0.00234
   -73.91092     0.00000     0.00000     0.00000     0.00000
   -73.89992   181.21697     0.00354     0.00306     0.00212
   -73.88892     0.00000     0.00000     0.00000     0.00000
   -73.87792     0.00000     0.00000     0.00000     0.00000
   -73.86692     0.00000     0.00000     0.00000     0.00000
   -73.85592   181.18051     0.00413     0.00014     0.00178
   -73.84492   181.17282     0.00398     0.00002     0.00207
   -73.83292     0.00000     0.00000     0.00000     0.00000
   -73.82192     0.00000     0.00000     0.00000     0.00000
   -73.81092   181.19213     0.00345     0.00015     0.00103
   -73.79992     0.00000     0.00000     0.00000     0.00000
   -73.78892     0.00000     0.00000     0.00000     0.00000
   -73.77792     0.00000     0.00000     0.00000     0.00000
   -73.76692     0.00000     0.00000     0.00000     0.00000
   -73.75592     0.00000     0.00000     0.00000     0.00000
   -73.74492   181.15732     0.00251     0.00232     0.00384
   -73.73392     0.00000     0.00000     0.00000     0.00000
   -73.72292     0.00000     0.00000     0.00000     0.00000
   -73.71192     0.00000     0.00000     0.00000     0.00000
   -73.70092     0.00000     0.00000     0.00000     0.00000
   -73.68992     0.00000     0.00000     0.00000     0.00000
   -73.67892     0.00000     0.00000     0.00000     0.00000
   -73.66792     0.00000     0.00000     0.00000     0.00000
   -73.65692     0.00000     0.00000     0.00000     0.00000
   -73.64592     0.00000     0.00000     0.00000     0.00000
   -73.63492     0.00000     0.00000     0.00000     0.00000
   -73.62392     0.00000     0.00000     0.00000     0.00000
   -73.61292     0.00000     0.00000     0.00000     0.00000
   -73.60192     0.00000     0.00000     0.00000     0.00000
   -73.59092     0.00000     0.00000     0.00000     0.00000
   -73.57992     0.00000     0.00000     0.00000     0.00000
   -73.56892     0.00000     0.00000     0.00000     0.00000
   -73.55792     0.00000     0.00000     0.00000     0.00000
   -73.54692     0.00000     0.00000     0.00000     0.00000
   -73.53592     0.00000     0.00000     0.00000     0.00000
   -73.52492     0.00000     0.00000     0.00000     0.00000
   -73.51392     0.00000     0.00000     0.00000     0.00000
   -73.50292     0.00000     0.00000     0.00000     0.00000
   -73.49192     0.00000     0.00000     0.00000     0.00000
   -73.48092     0.00000     0.00000     0.00000     0.00000
   -73.46992     0.00000     0.00000     0.00000     0.00000
   -73.45892     0.00000     0.00000     0.00000     0.00000
   -73.44792     0.00000     0.00000     0.00000     0.00000
   -73.43692     0.00000     0.00000     0.00000     0.00000
   -73.42592     0.00000     0.00000     0.00000     0.00000
   -73.41492     0.00000     0.00000     0.00000     0.00000
   -73.40392     0.00000     0.00000     0.00000     0.00000
   -73.39292     0.00000     0.00000     0.00000     0.00000
   -73.38192     0.00000     0.00000     0.00000     0.00000
   -73.37092     0.00000     0.00000     0.00000     0.00000
   -73.35992     0.00000     0.00000     0.00000     0.00000
   -73.34892     0.00000     0.00000     0.00000     0.00000
   -73.33792     0.00000     0.00000     0.00000     0.00000
   -73.32692     0.00000     0.00000     0.00000     0.00000
   -73.31592     0.00000     0.00000     0.00000     0.00000
   -73.30492     0.00000     0.00000     0.00000     0.00000
   -73.29392     0.00000     0.00000     0.00000     0.00000
   -73.28292     0.00000     0.00000     0.00000     0.00000
   -73.27192     0.00000     0.00000     0.00000     0.00000
   -73.26092     0.00000     0.00000     0.00000     0.00000
   -73.24992     0.00000     0.00000     0.00000     0.00000
   -73.23892     0.00000     0.00000     0.00000     0.00000
