     #Energy       W_all      Mo_all      Pt_all      Ti_all
   -74.21432     0.00000     0.00000     0.00000     0.00000
   -74.20332   186.93928     0.00531     0.00257     0.00006
   -74.19332     0.00000     0.00000     0.00000     0.00000
   -74.18232     0.00000     0.00000     0.00000     0.00000
   -74.17132     0.00000     0.00000     0.00000     0.00000
   -74.16132     0.00000     0.00000     0.00000     0.00000
   -74.15032     0.00000     0.00000     0.00000     0.00000
   -74.13932     0.00000     0.00000     0.00000     0.00000
   -74.12932   186.92557     0.00581     0.00219     0.00005
   -74.11832   186.89661     0.00824     0.00472     0.00001
   -74.10732     0.00000     0.00000     0.00000     0.00000
   -74.09732     0.00000     0.00000     0.00000     0.00000
   -74.08632     0.00000     0.00000     0.00000     0.00000
   -74.07532     0.00000     0.00000     0.00000     0.00000
   -74.06532     0.00000     0.00000     0.00000     0.00000
   -74.05432     0.00000     0.00000     0.00000     0.00000
   -74.04332     0.00000     0.00000     0.00000     0.00000
   -74.03232   373.94904     0.01076     0.00989     0.00228
   -74.02232     0.00000     0.00000     0.00000     0.00000
   -74.01132   186.88657     0.00520     0.00327     0.00022
   -74.00032     0.00000     0.00000     0.00000     0.00000
   -73.99032   186.90151     0.00431     0.00273     0.00018
   -73.97932   186.94178     0.00532     0.00275     0.00035
   -73.96832     0.00000     0.00000     0.00000     0.00000
   -73.95832   186.92400     0.00499     0.00197     0.00048
   -73.94732     0.00000     0.00000     0.00000     0.00000
   -73.93632   373.88537     0.01534     0.00849     0.00158
   -73.92632   187.00646     0.00631     0.00325     0.00056
   -73.91532     0.00000     0.00000     0.00000     0.00000
   -73.90432   186.95097     0.00337     0.00282     0.00056
   -73.89432     0.00000     0.00000     0.00000     0.00000
   -73.88332     0.00000     0.00000     0.00000     0.00000
   -73.87232   186.99149     0.00458     0.00286     0.00092
   -73.86232   186.99211     0.00289     0.00392     0.00081
   -73.85132     0.00000     0.00000     0.00000     0.00000
   -73.84032     0.00000     0.00000     0.00000     0.00000
   -73.83032     0.00000     0.00000     0.00000     0.00000
   -73.81932   186.98725     0.00058     0.00309     0.00079
   -73.80832     0.00000     0.00000     0.00000     0.00000
   -73.79832     0.00000     0.00000     0.00000     0.00000
   -73.78732     0.00000     0.00000     0.00000     0.00000
   -73.77632     0.00000     0.00000     0.00000     0.00000
   -73.76632     0.00000     0.00000     0.00000     0.00000
   -73.75532     0.00000     0.00000     0.00000     0.00000
   -73.74432     0.00000     0.00000     0.00000     0.00000
   -73.73432     0.00000     0.00000     0.00000     0.00000
   -73.72332     0.00000     0.00000     0.00000     0.00000
   -73.71232     0.00000     0.00000     0.00000     0.00000
