     #Energy       W_all      Mo_all      Ir_all      Zr_all
   -74.04398     0.00000     0.00000     0.00000     0.00000
   -74.03298   364.74823     0.01050     0.00351     0.00111
   -74.02198     0.00000     0.00000     0.00000     0.00000
   -74.01098     0.00000     0.00000     0.00000     0.00000
   -73.99998   182.40812     0.00357     0.00104     0.00056
   -73.98898   182.39842     0.00397     0.00130     0.00054
   -73.97798   182.39927     0.00523     0.00174     0.00070
   -73.96798     0.00000     0.00000     0.00000     0.00000
   -73.95698   182.49534     0.00621     0.00097     0.00058
   -73.94598   182.50314     0.00410     0.00150     0.00071
   -73.93498   182.54369     0.00288     0.00280     0.00116
   -73.92398     0.00000     0.00000     0.00000     0.00000
   -73.91298     0.00000     0.00000     0.00000     0.00000
   -73.90198     0.00000     0.00000     0.00000     0.00000
   -73.89098     0.00000     0.00000     0.00000     0.00000
   -73.87998   182.38044     0.00528     0.00009     0.00065
   -73.86898     0.00000     0.00000     0.00000     0.00000
   -73.85798     0.00000     0.00000     0.00000     0.00000
   -73.84698     0.00000     0.00000     0.00000     0.00000
   -73.83598     0.00000     0.00000     0.00000     0.00000
   -73.82498   182.44279     0.00525     0.00097     0.00147
   -73.81398     0.00000     0.00000     0.00000     0.00000
   -73.80298     0.00000     0.00000     0.00000     0.00000
   -73.79298     0.00000     0.00000     0.00000     0.00000
   -73.78198     0.00000     0.00000     0.00000     0.00000
   -73.77098     0.00000     0.00000     0.00000     0.00000
   -73.75998     0.00000     0.00000     0.00000     0.00000
   -73.74898     0.00000     0.00000     0.00000     0.00000
   -73.73798     0.00000     0.00000     0.00000     0.00000
   -73.72698     0.00000     0.00000     0.00000     0.00000
   -73.71598     0.00000     0.00000     0.00000     0.00000
   -73.70498     0.00000     0.00000     0.00000     0.00000
   -73.69398     0.00000     0.00000     0.00000     0.00000
   -73.68298     0.00000     0.00000     0.00000     0.00000
   -73.67198     0.00000     0.00000     0.00000     0.00000
   -73.66098     0.00000     0.00000     0.00000     0.00000
   -73.64998     0.00000     0.00000     0.00000     0.00000
   -73.63898     0.00000     0.00000     0.00000     0.00000
   -73.62898     0.00000     0.00000     0.00000     0.00000
   -73.61798     0.00000     0.00000     0.00000     0.00000
   -73.60698     0.00000     0.00000     0.00000     0.00000
