     #Energy       W_all      Mo_all      Re_all
   -80.51208     0.01374     0.00782   588.49102
   -80.50108     0.00000     0.00000     0.00000
   -80.48908     0.01063     0.00506   392.26263
   -80.47708     0.00508     0.00212   195.96109
   -80.46508     0.00529     0.00260   196.29469
   -80.45308     0.00000     0.00000     0.00000
   -80.44108     0.00000     0.00000     0.00000
   -80.43008     0.00000     0.00000     0.00000
   -80.41808     0.00000     0.00000     0.00000
   -80.40608     0.00000     0.00000     0.00000
   -80.39408     0.00000     0.00000     0.00000
   -80.38208     0.00000     0.00000     0.00000
   -80.37008     0.00000     0.00000     0.00000
   -80.35808     0.00000     0.00000     0.00000
   -80.34708     0.00000     0.00000     0.00000
   -80.33508     0.00000     0.00000     0.00000
   -80.32308     0.00000     0.00000     0.00000
   -80.31108     0.00000     0.00000     0.00000
   -80.29908     0.00000     0.00000     0.00000
   -80.28708     0.00000     0.00000     0.00000
   -80.27608     0.00000     0.00000     0.00000
   -80.26408     0.00000     0.00000     0.00000
   -80.25208     0.00000     0.00000     0.00000
   -80.24008     0.00000     0.00000     0.00000
   -80.22808     0.00000     0.00000     0.00000
   -80.21608     0.00000     0.00000     0.00000
   -80.20508     0.00000     0.00000     0.00000
   -80.19308     0.00000     0.00000     0.00000
   -80.18108     0.00000     0.00000     0.00000
   -80.16908     0.00000     0.00000     0.00000
   -80.15708     0.00000     0.00000     0.00000
   -80.14508     0.00000     0.00000     0.00000
   -80.13308     0.00000     0.00000     0.00000
   -80.12208     0.00000     0.00000     0.00000
   -80.11008     0.00000     0.00000     0.00000
   -80.09808     0.00000     0.00000     0.00000
   -80.08608     0.00000     0.00000     0.00000
   -80.07408     0.00000     0.00000     0.00000
   -80.06208     0.00000     0.00000     0.00000
   -80.05108     0.00000     0.00000     0.00000
   -80.03908     0.00000     0.00000     0.00000
   -80.02708     0.00000     0.00000     0.00000
   -80.01508     0.00000     0.00000     0.00000
   -80.00308     0.00000     0.00000     0.00000
   -79.99108     0.00000     0.00000     0.00000
   -79.98008     0.00000     0.00000     0.00000
   -79.96808     0.00000     0.00000     0.00000
   -79.95608     0.00000     0.00000     0.00000
   -79.94408     0.00000     0.00000     0.00000
   -79.93208     0.00000     0.00000     0.00000
   -79.92008     0.00000     0.00000     0.00000
   -79.90808     0.00000     0.00000     0.00000
   -79.89708     0.00000     0.00000     0.00000
   -79.88508     0.00000     0.00000     0.00000
   -79.87308     0.00000     0.00000     0.00000
   -79.86108     0.00000     0.00000     0.00000
   -79.84908     0.00000     0.00000     0.00000
   -79.83708     0.00000     0.00000     0.00000
   -79.82608     0.00000     0.00000     0.00000
   -79.81408     0.00000     0.00000     0.00000
   -79.80208     0.00000     0.00000     0.00000
   -79.79008     0.00000     0.00000     0.00000
   -79.77808     0.00000     0.00000     0.00000
   -79.76608     0.00000     0.00000     0.00000
   -79.75408     0.00000     0.00000     0.00000
   -79.74308     0.00000     0.00000     0.00000
   -79.73108     0.00000     0.00000     0.00000
   -79.71908     0.00000     0.00000     0.00000
   -79.70708     0.00000     0.00000     0.00000
   -79.69508     0.00000     0.00000     0.00000
   -79.68308     0.00000     0.00000     0.00000
   -79.67208     0.00000     0.00000     0.00000
   -79.66008     0.00000     0.00000     0.00000
   -79.64808     0.00000     0.00000     0.00000
   -79.63608     0.00000     0.00000     0.00000
   -79.62408     0.00000     0.00000     0.00000
   -79.61208     0.00000     0.00000     0.00000
   -79.60108     0.00000     0.00000     0.00000
   -79.58908     0.00000     0.00000     0.00000
   -79.57708     0.00000     0.00000     0.00000
   -79.56508     0.00000     0.00000     0.00000
   -79.55308     0.00000     0.00000     0.00000
   -79.54108     0.00000     0.00000     0.00000
   -79.52908     0.00000     0.00000     0.00000
   -79.51808     0.00000     0.00000     0.00000
   -79.50608     0.00000     0.00000     0.00000
   -79.49408     0.00000     0.00000     0.00000
   -79.48208     0.00000     0.00000     0.00000
   -79.47008     0.00000     0.00000     0.00000
   -79.45808     0.00000     0.00000     0.00000
   -79.44708     0.00000     0.00000     0.00000
   -79.43508     0.00000     0.00000     0.00000
   -79.42308     0.00000     0.00000     0.00000
   -79.41108     0.00000     0.00000     0.00000
   -79.39908     0.00000     0.00000     0.00000
   -79.38708     0.00000     0.00000     0.00000
   -79.37508     0.00000     0.00000     0.00000
   -79.36408     0.00000     0.00000     0.00000
   -79.35208     0.00000     0.00000     0.00000
   -79.34008     0.00000     0.00000     0.00000
   -79.32808     0.00000     0.00000     0.00000
   -79.31608     0.00000     0.00000     0.00000
   -79.30408     0.00000     0.00000     0.00000
   -79.29308     0.00000     0.00000     0.00000
   -79.28108     0.00000     0.00000     0.00000
   -79.26908     0.00000     0.00000     0.00000
   -79.25708     0.00000     0.00000     0.00000
   -79.24508     0.00000     0.00000     0.00000
   -79.23308     0.00000     0.00000     0.00000
   -79.22208     0.00000     0.00000     0.00000
   -79.21008     0.00000     0.00000     0.00000
   -79.19808     0.00000     0.00000     0.00000
   -79.18608     0.00000     0.00000     0.00000
   -79.17408     0.00000     0.00000     0.00000
   -79.16208     0.00000     0.00000     0.00000
   -79.15008     0.00000     0.00000     0.00000
   -79.13908     0.00000     0.00000     0.00000
   -79.12708     0.00000     0.00000     0.00000
   -79.11508     0.00000     0.00000     0.00000
   -79.10308     0.00000     0.00000     0.00000
   -79.09108     0.00000     0.00000     0.00000
   -79.07908     0.00000     0.00000     0.00000
   -79.06808     0.00000     0.00000     0.00000
   -79.05608     0.00000     0.00000     0.00000
   -79.04408     0.00000     0.00000     0.00000
   -79.03208     0.00000     0.00000     0.00000
   -79.02008     0.00000     0.00000     0.00000
   -79.00808     0.00000     0.00000     0.00000
   -78.99608     0.00000     0.00000     0.00000
   -78.98508     0.00000     0.00000     0.00000
   -78.97308     0.00000     0.00000     0.00000
   -78.96108     0.00000     0.00000     0.00000
   -78.94908     0.00000     0.00000     0.00000
   -78.93708     0.00000     0.00000     0.00000
   -78.92508     0.00000     0.00000     0.00000
   -78.91408     0.00000     0.00000     0.00000
   -78.90208     0.00000     0.00000     0.00000
   -78.89008     0.00000     0.00000     0.00000
   -78.87808     0.00000     0.00000     0.00000
   -78.86608     0.00000     0.00000     0.00000
   -78.85408     0.00000     0.00000     0.00000
   -78.84308     0.00000     0.00000     0.00000
   -78.83108     0.00000     0.00000     0.00000
   -78.81908     0.00000     0.00000     0.00000
   -78.80708     0.00000     0.00000     0.00000
   -78.79508     0.00000     0.00000     0.00000
   -78.78308     0.00000     0.00000     0.00000
   -78.77108     0.00000     0.00000     0.00000
   -78.76008     0.00000     0.00000     0.00000
   -78.74808     0.00000     0.00000     0.00000
   -78.73608     0.00000     0.00000     0.00000
   -78.72408     0.00000     0.00000     0.00000
   -78.71208     0.00000     0.00000     0.00000
   -78.70008     0.00000     0.00000     0.00000
   -78.68908     0.00000     0.00000     0.00000
   -78.67708     0.00000     0.00000     0.00000
   -78.66508     0.00000     0.00000     0.00000
   -78.65308     0.00000     0.00000     0.00000
   -78.64108     0.00000     0.00000     0.00000
   -78.62908     0.00000     0.00000     0.00000
   -78.61808     0.00000     0.00000     0.00000
   -78.60608     0.00000     0.00000     0.00000
   -78.59408     0.00000     0.00000     0.00000
   -78.58208     0.00000     0.00000     0.00000
   -78.57008     0.00000     0.00000     0.00000
   -78.55808     0.00000     0.00000     0.00000
   -78.54608     0.00000     0.00000     0.00000
   -78.53508     0.00000     0.00000     0.00000
   -78.52308     0.00000     0.00000     0.00000
   -78.51108     0.00000     0.00000     0.00000
   -78.49908     0.00000     0.00000     0.00000
   -78.48708     0.00000     0.00000     0.00000
   -78.47508     0.00000     0.00000     0.00000
   -78.46408     0.00000     0.00000     0.00000
   -78.45208     0.00000     0.00000     0.00000
   -78.44008     0.00000     0.00000     0.00000
   -78.42808     0.00000     0.00000     0.00000
   -78.41608     0.00000     0.00000     0.00000
   -78.40408     0.00000     0.00000     0.00000
   -78.39208     0.00000     0.00000     0.00000
   -78.38108     0.00000     0.00000     0.00000
   -78.36908     0.00000     0.00000     0.00000
   -78.35708     0.00000     0.00000     0.00000
   -78.34508     0.00000     0.00000     0.00000
   -78.33308     0.00000     0.00000     0.00000
   -78.32108     0.00000     0.00000     0.00000
   -78.31008     0.00000     0.00000     0.00000
   -78.29808     0.00000     0.00000     0.00000
   -78.28608     0.00000     0.00000     0.00000
   -78.27408     0.00000     0.00000     0.00000
   -78.26208     0.00000     0.00000     0.00000
   -78.25008     0.00000     0.00000     0.00000
   -78.23908     0.00000     0.00000     0.00000
   -78.22708     0.00000     0.00000     0.00000
   -78.21508     0.00000     0.00000     0.00000
   -78.20308     0.00000     0.00000     0.00000
   -78.19108     0.00000     0.00000     0.00000
   -78.17908     0.00000     0.00000     0.00000
   -78.16708     0.00000     0.00000     0.00000
   -78.15608     0.00000     0.00000     0.00000
   -78.14408     0.00000     0.00000     0.00000
   -78.13208     0.00000     0.00000     0.00000
   -78.12008     0.00000     0.00000     0.00000
   -78.10808     0.00000     0.00000     0.00000
   -78.09608     0.00000     0.00000     0.00000
   -78.08508     0.00000     0.00000     0.00000
   -78.07308     0.00000     0.00000     0.00000
   -78.06108     0.00000     0.00000     0.00000
   -78.04908     0.00000     0.00000     0.00000
   -78.03708     0.00000     0.00000     0.00000
   -78.02508     0.00000     0.00000     0.00000
   -78.01308     0.00000     0.00000     0.00000
   -78.00208     0.00000     0.00000     0.00000
   -77.99008     0.00000     0.00000     0.00000
   -77.97808     0.00000     0.00000     0.00000
   -77.96608     0.00000     0.00000     0.00000
   -77.95408     0.00000     0.00000     0.00000
   -77.94208     0.00000     0.00000     0.00000
   -77.93108     0.00000     0.00000     0.00000
   -77.91908     0.00000     0.00000     0.00000
   -77.90708     0.00000     0.00000     0.00000
   -77.89508     0.00000     0.00000     0.00000
   -77.88308     0.00000     0.00000     0.00000
   -77.87108     0.00000     0.00000     0.00000
   -77.86008     0.00000     0.00000     0.00000
   -77.84808     0.00000     0.00000     0.00000
   -77.83608     0.00000     0.00000     0.00000
   -77.82408     0.00000     0.00000     0.00000
   -77.81208     0.00000     0.00000     0.00000
   -77.80008     0.00000     0.00000     0.00000
   -77.78808     0.00000     0.00000     0.00000
   -77.77708     0.00000     0.00000     0.00000
   -77.76508     0.00000     0.00000     0.00000
   -77.75308     0.00000     0.00000     0.00000
   -77.74108     0.00000     0.00000     0.00000
   -77.72908     0.00000     0.00000     0.00000
   -77.71708     0.00000     0.00000     0.00000
   -77.70608     0.00000     0.00000     0.00000
   -77.69408     0.00000     0.00000     0.00000
   -77.68208     0.00000     0.00000     0.00000
   -77.67008     0.00000     0.00000     0.00000
   -77.65808     0.00000     0.00000     0.00000
   -77.64608     0.00000     0.00000     0.00000
   -77.63508     0.00000     0.00000     0.00000
   -77.62308     0.00000     0.00000     0.00000
   -77.61108     0.00000     0.00000     0.00000
   -77.59908     0.00000     0.00000     0.00000
   -77.58708     0.00000     0.00000     0.00000
   -77.57508     0.00000     0.00000     0.00000
   -77.56308     0.00000     0.00000     0.00000
   -77.55208     0.00000     0.00000     0.00000
   -77.54008     0.00000     0.00000     0.00000
   -77.52808     0.00000     0.00000     0.00000
   -77.51608     0.00000     0.00000     0.00000
   -77.50408     0.00000     0.00000     0.00000
   -77.49208     0.00000     0.00000     0.00000
   -77.48108     0.00000     0.00000     0.00000
   -77.46908     0.00000     0.00000     0.00000
   -77.45708     0.00000     0.00000     0.00000
   -77.44508     0.00000     0.00000     0.00000
   -77.43308     0.00000     0.00000     0.00000
   -77.42108     0.00000     0.00000     0.00000
