     #Energy       W_all      Mo_all      Ir_all
   -74.77631     0.00000     0.00000     0.00000
   -74.76631     0.00000     0.00000     0.00000
   -74.75531     0.00000     0.00000     0.00000
   -74.74431     0.00000     0.00000     0.00000
   -74.73431     0.00000     0.00000     0.00000
   -74.72331     0.00000     0.00000     0.00000
   -74.71231     0.00000     0.00000     0.00000
   -74.70231     0.00000     0.00000     0.00000
   -74.69131     0.00000     0.00000     0.00000
   -74.68131     0.00000     0.00000     0.00000
   -74.67031     0.00000     0.00000     0.00000
   -74.65931     0.00000     0.00000     0.00000
   -74.64931     0.00000     0.00000     0.00000
   -74.63831     0.00000     0.00000     0.00000
   -74.62831     0.00000     0.00000     0.00000
   -74.61731     0.00000     0.00000     0.00000
   -74.60631     0.00000     0.00000     0.00000
   -74.59631     0.00000     0.00000     0.00000
   -74.58531     0.00000     0.00000     0.00000
   -74.57431     0.00000     0.00000     0.00000
   -74.56431     0.00000     0.00000     0.00000
   -74.55331     0.00000     0.00000     0.00000
   -74.54331     0.00000     0.00000     0.00000
   -74.53231     0.00000     0.00000     0.00000
   -74.52131     0.00000     0.00000     0.00000
   -74.51131     0.00000     0.00000     0.00000
   -74.50031     0.00000     0.00000     0.00000
   -74.48931     0.00000     0.00000     0.00000
   -74.47931     0.00000     0.00000     0.00000
   -74.46831     0.00000     0.00000     0.00000
   -74.45831     0.00000     0.00000     0.00000
   -74.44731     0.00000     0.00000     0.00000
   -74.43631     0.00000     0.00000     0.00000
   -74.42631     0.00000     0.00000     0.00000
   -74.41531     0.00000     0.00000     0.00000
   -74.40531     0.00000     0.00000     0.00000
   -74.39431     0.00000     0.00000     0.00000
   -74.38331     0.00000     0.00000     0.00000
   -74.37331     0.00000     0.00000     0.00000
   -74.36231     0.00000     0.00000     0.00000
   -74.35131     0.00000     0.00000     0.00000
   -74.34131     0.00000     0.00000     0.00000
   -74.33031     0.00000     0.00000     0.00000
   -74.32031     0.00000     0.00000     0.00000
   -74.30931     0.00000     0.00000     0.00000
   -74.29831     0.00000     0.00000     0.00000
   -74.28831     0.00000     0.00000     0.00000
   -74.27731     0.00000     0.00000     0.00000
   -74.26631   187.80946     0.00341     0.00913
   -74.25631     0.00000     0.00000     0.00000
   -74.24531     0.00000     0.00000     0.00000
   -74.23531     0.00000     0.00000     0.00000
   -74.22431     0.00000     0.00000     0.00000
   -74.21331     0.00000     0.00000     0.00000
   -74.20331     0.00000     0.00000     0.00000
   -74.19231   375.55511     0.01492     0.01711
   -74.18131     0.00000     0.00000     0.00000
   -74.17131   375.71464     0.01391     0.00740
   -74.16031     0.00000     0.00000     0.00000
   -74.15031     0.00000     0.00000     0.00000
   -74.13931   187.74317     0.00552     0.00201
   -74.12831   187.81039     0.00912     0.00289
   -74.11831     0.00000     0.00000     0.00000
   -74.10731   187.81677     0.00713     0.00195
   -74.09731   187.86453     0.00495     0.00268
   -74.08631   572.71749     0.02045     0.00440
   -74.07531   187.88240     0.00567     0.00124
   -74.06531   187.83290     0.00611     0.00042
   -74.05431   563.67345     0.01873     0.00247
   -74.04331  2042.58882     0.09717     0.01507
   -74.03331   300.64213     0.01349     0.00201
   -74.02231   896.03733     0.03206     0.00228
   -74.01231   177.14130     0.00656     0.00047
   -74.00131   375.82482     0.01488     0.00043
   -73.99031   187.95078     0.00433     0.00049
   -73.98031     0.00000     0.00000     0.00000
   -73.96931   188.01235     0.00646     0.00032
   -73.95831     0.00000     0.00000     0.00000
   -73.94831     0.00000     0.00000     0.00000
   -73.93731     0.00000     0.00000     0.00000
   -73.92731     0.00000     0.00000     0.00000
   -73.91631     0.00000     0.00000     0.00000
   -73.90531     0.00000     0.00000     0.00000
   -73.89531     0.00000     0.00000     0.00000
   -73.88431     0.00000     0.00000     0.00000
   -73.87331     0.00000     0.00000     0.00000
   -73.86331     0.00000     0.00000     0.00000
   -73.85231     0.00000     0.00000     0.00000
   -73.84231     0.00000     0.00000     0.00000
   -73.83131     0.00000     0.00000     0.00000
   -73.82031     0.00000     0.00000     0.00000
   -73.81031     0.00000     0.00000     0.00000
   -73.79931     0.00000     0.00000     0.00000
   -73.78931     0.00000     0.00000     0.00000
   -73.77831     0.00000     0.00000     0.00000
   -73.76731     0.00000     0.00000     0.00000
   -73.75731     0.00000     0.00000     0.00000
   -73.74631     0.00000     0.00000     0.00000
   -73.73531     0.00000     0.00000     0.00000
   -73.72531     0.00000     0.00000     0.00000
   -73.71431     0.00000     0.00000     0.00000
   -73.70431     0.00000     0.00000     0.00000
   -73.69331     0.00000     0.00000     0.00000
   -73.68231     0.00000     0.00000     0.00000
   -73.67231     0.00000     0.00000     0.00000
   -73.66131     0.00000     0.00000     0.00000
   -73.65031     0.00000     0.00000     0.00000
   -73.64031     0.00000     0.00000     0.00000
   -73.62931     0.00000     0.00000     0.00000
   -73.61931     0.00000     0.00000     0.00000
   -73.60831     0.00000     0.00000     0.00000
   -73.59731     0.00000     0.00000     0.00000
   -73.58731     0.00000     0.00000     0.00000
   -73.57631     0.00000     0.00000     0.00000
   -73.56531     0.00000     0.00000     0.00000
   -73.55531     0.00000     0.00000     0.00000
   -73.54431     0.00000     0.00000     0.00000
   -73.53431     0.00000     0.00000     0.00000
   -73.52331     0.00000     0.00000     0.00000
   -73.51231     0.00000     0.00000     0.00000
   -73.50231     0.00000     0.00000     0.00000
   -73.49131     0.00000     0.00000     0.00000
   -73.48131     0.00000     0.00000     0.00000
   -73.47031     0.00000     0.00000     0.00000
   -73.45931     0.00000     0.00000     0.00000
   -73.44931     0.00000     0.00000     0.00000
   -73.43831     0.00000     0.00000     0.00000
   -73.42731     0.00000     0.00000     0.00000
   -73.41731     0.00000     0.00000     0.00000
   -73.40631     0.00000     0.00000     0.00000
   -73.39631     0.00000     0.00000     0.00000
   -73.38531     0.00000     0.00000     0.00000
   -73.37431     0.00000     0.00000     0.00000
   -73.36431     0.00000     0.00000     0.00000
   -73.35331     0.00000     0.00000     0.00000
   -73.34231     0.00000     0.00000     0.00000
   -73.33231     0.00000     0.00000     0.00000
   -73.32131     0.00000     0.00000     0.00000
   -73.31131     0.00000     0.00000     0.00000
   -73.30031     0.00000     0.00000     0.00000
   -73.28931     0.00000     0.00000     0.00000
   -73.27931     0.00000     0.00000     0.00000
   -73.26831     0.00000     0.00000     0.00000
   -73.25731     0.00000     0.00000     0.00000
   -73.24731     0.00000     0.00000     0.00000
   -73.23631     0.00000     0.00000     0.00000
   -73.22631     0.00000     0.00000     0.00000
   -73.21531     0.00000     0.00000     0.00000
   -73.20431     0.00000     0.00000     0.00000
   -73.19431     0.00000     0.00000     0.00000
   -73.18331     0.00000     0.00000     0.00000
   -73.17331     0.00000     0.00000     0.00000
   -73.16231     0.00000     0.00000     0.00000
   -73.15131     0.00000     0.00000     0.00000
   -73.14131     0.00000     0.00000     0.00000
   -73.13031     0.00000     0.00000     0.00000
   -73.11931     0.00000     0.00000     0.00000
   -73.10931     0.00000     0.00000     0.00000
   -73.09831     0.00000     0.00000     0.00000
   -73.08831     0.00000     0.00000     0.00000
   -73.07731     0.00000     0.00000     0.00000
   -73.06631     0.00000     0.00000     0.00000
   -73.05631     0.00000     0.00000     0.00000
   -73.04531     0.00000     0.00000     0.00000
   -73.03431     0.00000     0.00000     0.00000
   -73.02431     0.00000     0.00000     0.00000
   -73.01331     0.00000     0.00000     0.00000
   -73.00331     0.00000     0.00000     0.00000
   -72.99231     0.00000     0.00000     0.00000
   -72.98131     0.00000     0.00000     0.00000
   -72.97131     0.00000     0.00000     0.00000
   -72.96031     0.00000     0.00000     0.00000
   -72.94931     0.00000     0.00000     0.00000
   -72.93931     0.00000     0.00000     0.00000
   -72.92831     0.00000     0.00000     0.00000
   -72.91831     0.00000     0.00000     0.00000
   -72.90731     0.00000     0.00000     0.00000
   -72.89631     0.00000     0.00000     0.00000
   -72.88631     0.00000     0.00000     0.00000
   -72.87531     0.00000     0.00000     0.00000
   -72.86531     0.00000     0.00000     0.00000
   -72.85431     0.00000     0.00000     0.00000
   -72.84331     0.00000     0.00000     0.00000
   -72.83331     0.00000     0.00000     0.00000
   -72.82231     0.00000     0.00000     0.00000
   -72.81131     0.00000     0.00000     0.00000
   -72.80131     0.00000     0.00000     0.00000
   -72.79031     0.00000     0.00000     0.00000
   -72.78031     0.00000     0.00000     0.00000
   -72.76931     0.00000     0.00000     0.00000
   -72.75831     0.00000     0.00000     0.00000
   -72.74831     0.00000     0.00000     0.00000
   -72.73731     0.00000     0.00000     0.00000
   -72.72631     0.00000     0.00000     0.00000
   -72.71631     0.00000     0.00000     0.00000
   -72.70531     0.00000     0.00000     0.00000
   -72.69531     0.00000     0.00000     0.00000
   -72.68431     0.00000     0.00000     0.00000
   -72.67331     0.00000     0.00000     0.00000
   -72.66331     0.00000     0.00000     0.00000
   -72.65231     0.00000     0.00000     0.00000
   -72.64131     0.00000     0.00000     0.00000
   -72.63131     0.00000     0.00000     0.00000
   -72.62031     0.00000     0.00000     0.00000
   -72.61031     0.00000     0.00000     0.00000
   -72.59931     0.00000     0.00000     0.00000
   -72.58831     0.00000     0.00000     0.00000
   -72.57831     0.00000     0.00000     0.00000
   -72.56731     0.00000     0.00000     0.00000
   -72.55731     0.00000     0.00000     0.00000
   -72.54631     0.00000     0.00000     0.00000
   -72.53531     0.00000     0.00000     0.00000
   -72.52531     0.00000     0.00000     0.00000
   -72.51431     0.00000     0.00000     0.00000
   -72.50331     0.00000     0.00000     0.00000
   -72.49331     0.00000     0.00000     0.00000
   -72.48231     0.00000     0.00000     0.00000
   -72.47231     0.00000     0.00000     0.00000
   -72.46131     0.00000     0.00000     0.00000
   -72.45031     0.00000     0.00000     0.00000
   -72.44031     0.00000     0.00000     0.00000
   -72.42931     0.00000     0.00000     0.00000
   -72.41831     0.00000     0.00000     0.00000
   -72.40831     0.00000     0.00000     0.00000
   -72.39731     0.00000     0.00000     0.00000
   -72.38731     0.00000     0.00000     0.00000
   -72.37631     0.00000     0.00000     0.00000
   -72.36531     0.00000     0.00000     0.00000
   -72.35531     0.00000     0.00000     0.00000
   -72.34431     0.00000     0.00000     0.00000
   -72.33331     0.00000     0.00000     0.00000
   -72.32331     0.00000     0.00000     0.00000
