     #Energy       W_all      Mo_all      Re_all      Hf_all
   -79.97600     0.00000     0.00000     0.00000     0.00000
   -79.96400     0.00000     0.00000     0.00000     0.00000
   -79.95300     0.00000     0.00000     0.00000     0.00000
   -79.94100     0.00000     0.00000     0.00000     0.00000
   -79.92900     0.00000     0.00000     0.00000     0.00000
   -79.91800     0.00000     0.00000     0.00000     0.00000
   -79.90600     0.00000     0.00000     0.00000     0.00000
   -79.89400     0.00000     0.00000     0.00000     0.00000
   -79.88300     0.00000     0.00000     0.00000     0.00000
   -79.87100     0.00000     0.00000     0.00000     0.00000
   -79.86000     0.00000     0.00000     0.00000     0.00000
   -79.84800     0.00000     0.00000     0.00000     0.00000
   -79.83600     0.00000     0.00000     0.00000     0.00000
   -79.82500     0.00000     0.00000     0.00000     0.00000
   -79.81300     0.00000     0.00000     0.00000     0.00000
   -79.80100     0.00000     0.00000     0.00000     0.00000
   -79.79000     0.00000     0.00000     0.00000     0.00000
   -79.77800     0.00000     0.00000     0.00000     0.00000
   -79.76600     0.00000     0.00000     0.00000     0.00000
   -79.75500     0.00000     0.00000     0.00000     0.00000
   -79.74300     0.00000     0.00000     0.00000     0.00000
   -79.73100     0.00000     0.00000     0.00000     0.00000
   -79.72000     0.00000     0.00000     0.00000     0.00000
   -79.70800     0.00000     0.00000     0.00000     0.00000
   -79.69600     0.00000     0.00000     0.00000     0.00000
   -79.68500     0.00000     0.00000     0.00000     0.00000
   -79.67300     0.00000     0.00000     0.00000     0.00000
   -79.66100     0.00000     0.00000     0.00000     0.00000
   -79.65000     0.00000     0.00000     0.00000     0.00000
   -79.63800     0.00000     0.00000     0.00000     0.00000
   -79.62600     0.00000     0.00000     0.00000     0.00000
   -79.61500     0.00000     0.00000     0.00000     0.00000
   -79.60300     0.00000     0.00000     0.00000     0.00000
   -79.59100     0.00000     0.00000     0.00000     0.00000
   -79.58000     0.00000     0.00000     0.00000     0.00000
   -79.56800     0.00000     0.00000     0.00000     0.00000
   -79.55600     0.00000     0.00000     0.00000     0.00000
   -79.54500     0.00000     0.00000     0.00000     0.00000
   -79.53300     0.00000     0.00000     0.00000     0.00000
   -79.52100     0.00000     0.00000     0.00000     0.00000
   -79.51000     0.00000     0.00000     0.00000     0.00000
   -79.49800     0.00000     0.00000     0.00000     0.00000
   -79.48700     0.00000     0.00000     0.00000     0.00000
   -79.47500     0.00000     0.00000     0.00000     0.00000
   -79.46300     0.00000     0.00000     0.00000     0.00000
   -79.45200     0.00000     0.00000     0.00000     0.00000
   -79.44000     0.00000     0.00000     0.00000     0.00000
   -79.42800     0.00000     0.00000     0.00000     0.00000
   -79.41700     0.00000     0.00000     0.00000     0.00000
   -79.40500     0.00000     0.00000     0.00000     0.00000
   -79.39300     0.00000     0.00000     0.00000     0.00000
   -79.38200     0.00000     0.00000     0.00000     0.00000
   -79.37000     0.00000     0.00000     0.00000     0.00000
   -79.35800     0.00000     0.00000     0.00000     0.00000
   -79.34700     0.00000     0.00000     0.00000     0.00000
   -79.33500     0.00000     0.00000     0.00000     0.00000
   -79.32300     0.00000     0.00000     0.00000     0.00000
   -79.31200     0.00000     0.00000     0.00000     0.00000
