     #Energy       W_all      Mo_all      Ru_all
   -76.86492     0.00000     0.00000     0.00000
   -76.85392     0.00000     0.00000     0.00000
   -76.84292     0.00000     0.00000     0.00000
   -76.83192     0.00000     0.00000     0.00000
   -76.82092     0.00000     0.00000     0.00000
   -76.80992     0.00000     0.00000     0.00000
   -76.79892     0.00000     0.00000     0.00000
   -76.78792     0.00000     0.00000     0.00000
   -76.77692     0.00000     0.00000     0.00000
   -76.76592     0.00000     0.00000     0.00000
   -76.75492     0.00000     0.00000     0.00000
   -76.74392     0.00000     0.00000     0.00000
   -76.73292     0.00000     0.00000     0.00000
   -76.72192     0.00000     0.00000     0.00000
   -76.71092     0.00000     0.00000     0.00000
   -76.69992     0.00000     0.00000     0.00000
   -76.68892     0.00000     0.00000     0.00000
   -76.67792     0.00000     0.00000     0.00000
   -76.66692     0.00000     0.00000     0.00000
   -76.65592     0.00000     0.00000     0.00000
   -76.64492     0.00000     0.00000     0.00000
   -76.63392     0.00000     0.00000     0.00000
   -76.62192     0.00000     0.00000     0.00000
   -76.61092     0.00000     0.00000     0.00000
   -76.59992     0.00000     0.00000     0.00000
   -76.58892     0.00000     0.00000     0.00000
   -76.57792     0.00000     0.00000     0.00000
   -76.56692     0.00000     0.00000     0.00000
   -76.55592     0.00000     0.00000     0.00000
   -76.54492     0.00000     0.00000     0.00000
   -76.53392     0.00000     0.00000     0.00000
   -76.52292     0.00000     0.00000     0.00000
   -76.51192     0.00000     0.00000     0.00000
   -76.50092     0.00000     0.00000     0.00000
   -76.48992     0.00000     0.00000     0.00000
   -76.47892     0.00000     0.00000     0.00000
   -76.46792     0.00000     0.00000     0.00000
   -76.45692     0.00000     0.00000     0.00000
   -76.44592     0.00000     0.00000     0.00000
   -76.43492     0.00000     0.00000     0.00000
   -76.42392     0.00000     0.00000     0.00000
   -76.41292     0.00000     0.00000     0.00000
   -76.40192     0.00000     0.00000     0.00000
   -76.38992     0.00000     0.00000     0.00000
   -76.37892     0.00000     0.00000     0.00000
   -76.36792     0.00000     0.00000     0.00000
   -76.35692     0.00000     0.00000     0.00000
   -76.34592     0.00000     0.00000     0.00000
   -76.33492     0.00000     0.00000     0.00000
   -76.32392     0.00000     0.00000     0.00000
   -76.31292     0.00000     0.00000     0.00000
   -76.30192     0.00000     0.00000     0.00000
   -76.29092     0.00000     0.00000     0.00000
   -76.27992     0.00000     0.00000     0.00000
   -76.26892     0.00000     0.00000     0.00000
   -76.25792     0.00000     0.00000     0.00000
   -76.24692     0.00000     0.00000     0.00000
   -76.23592     0.00000     0.00000     0.00000
   -76.22492     0.00000     0.00000     0.00000
   -76.21392     0.00000     0.00000     0.00000
   -76.20292     0.00000     0.00000     0.00000
   -76.19192     0.00000     0.00000     0.00000
   -76.18092     0.00000     0.00000     0.00000
   -76.16992     0.00000     0.00000     0.00000
   -76.15892     0.00000     0.00000     0.00000
   -76.14692     0.00000     0.00000     0.00000
   -76.13592     0.00000     0.00000     0.00000
   -76.12492     0.00000     0.00000     0.00000
   -76.11392     0.00000     0.00000     0.00000
   -76.10292     0.00000     0.00000     0.00000
   -76.09192     0.00000     0.00000     0.00000
   -76.08092     0.00000     0.00000     0.00000
   -76.06992     0.00000     0.00000     0.00000
   -76.05892     0.00000     0.00000     0.00000
   -76.04792     0.00000     0.00000     0.00000
   -76.03692     0.00000     0.00000     0.00000
   -76.02592     0.00000     0.00000     0.00000
   -76.01492     0.00000     0.00000     0.00000
   -76.00392     0.00000     0.00000     0.00000
   -75.99292     0.00000     0.00000     0.00000
   -75.98192     0.00000     0.00000     0.00000
   -75.97092     0.00000     0.00000     0.00000
   -75.95992     0.00000     0.00000     0.00000
   -75.94892     0.00000     0.00000     0.00000
   -75.93792     0.00000     0.00000     0.00000
   -75.92692     0.00000     0.00000     0.00000
   -75.91592     0.00000     0.00000     0.00000
   -75.90392     0.00000     0.00000     0.00000
   -75.89292     0.00000     0.00000     0.00000
   -75.88192     0.00000     0.00000     0.00000
   -75.87092     0.00000     0.00000     0.00000
   -75.85992     0.00000     0.00000     0.00000
   -75.84892     0.00000     0.00000     0.00000
   -75.83792     0.00000     0.00000     0.00000
   -75.82692     0.00000     0.00000     0.00000
   -75.81592     0.00000     0.00000     0.00000
   -75.80492     0.00000     0.00000     0.00000
   -75.79392     0.00000     0.00000     0.00000
   -75.78292     0.00000     0.00000     0.00000
   -75.77192     0.00000     0.00000     0.00000
   -75.76092     0.00000     0.00000     0.00000
   -75.74992     0.00000     0.00000     0.00000
   -75.73892     0.00000     0.00000     0.00000
   -75.72792     0.00000     0.00000     0.00000
   -75.71692     0.00000     0.00000     0.00000
   -75.70592     0.00000     0.00000     0.00000
   -75.69492     0.00000     0.00000     0.00000
   -75.68392     0.00000     0.00000     0.00000
   -75.67292     0.00000     0.00000     0.00000
   -75.66092     0.00000     0.00000     0.00000
   -75.64992     0.00000     0.00000     0.00000
   -75.63892     0.00000     0.00000     0.00000
   -75.62792     0.00000     0.00000     0.00000
   -75.61692     0.00000     0.00000     0.00000
   -75.60592     0.00000     0.00000     0.00000
   -75.59492     0.00000     0.00000     0.00000
   -75.58392     0.00000     0.00000     0.00000
   -75.57292     0.00000     0.00000     0.00000
