     #Energy       W_all      Mo_all      Ti_all      Ir_all
   -75.77682     0.00000     0.00000     0.00000     0.00000
   -75.76582     0.00000     0.00000     0.00000     0.00000
   -75.75582     0.00000     0.00000     0.00000     0.00000
   -75.74482     0.00000     0.00000     0.00000     0.00000
   -75.73382     0.00000     0.00000     0.00000     0.00000
   -75.72382     0.00000     0.00000     0.00000     0.00000
   -75.71282     0.00000     0.00000     0.00000     0.00000
   -75.70182     0.00000     0.00000     0.00000     0.00000
   -75.69182     0.00000     0.00000     0.00000     0.00000
   -75.68082     0.00000     0.00000     0.00000     0.00000
   -75.66982     0.00000     0.00000     0.00000     0.00000
   -75.65982     0.00000     0.00000     0.00000     0.00000
   -75.64882     0.00000     0.00000     0.00000     0.00000
   -75.63782     0.00000     0.00000     0.00000     0.00000
   -75.62782     0.00000     0.00000     0.00000     0.00000
   -75.61682     0.00000     0.00000     0.00000     0.00000
   -75.60582     0.00000     0.00000     0.00000     0.00000
   -75.59582     0.00000     0.00000     0.00000     0.00000
   -75.58482     0.00000     0.00000     0.00000     0.00000
   -75.57382     0.00000     0.00000     0.00000     0.00000
   -75.56382     0.00000     0.00000     0.00000     0.00000
   -75.55282     0.00000     0.00000     0.00000     0.00000
   -75.54182     0.00000     0.00000     0.00000     0.00000
   -75.53182     0.00000     0.00000     0.00000     0.00000
   -75.52082     0.00000     0.00000     0.00000     0.00000
   -75.50982     0.00000     0.00000     0.00000     0.00000
   -75.49982     0.00000     0.00000     0.00000     0.00000
   -75.48882     0.00000     0.00000     0.00000     0.00000
   -75.47782     0.00000     0.00000     0.00000     0.00000
   -75.46782     0.00000     0.00000     0.00000     0.00000
   -75.45682     0.00000     0.00000     0.00000     0.00000
   -75.44682     0.00000     0.00000     0.00000     0.00000
   -75.43582     0.00000     0.00000     0.00000     0.00000
   -75.42482     0.00000     0.00000     0.00000     0.00000
   -75.41482     0.00000     0.00000     0.00000     0.00000
   -75.40382     0.00000     0.00000     0.00000     0.00000
   -75.39282     0.00000     0.00000     0.00000     0.00000
   -75.38282     0.00000     0.00000     0.00000     0.00000
   -75.37182     0.00000     0.00000     0.00000     0.00000
   -75.36082     0.00000     0.00000     0.00000     0.00000
   -75.35082     0.00000     0.00000     0.00000     0.00000
   -75.33982     0.00000     0.00000     0.00000     0.00000
   -75.32882     0.00000     0.00000     0.00000     0.00000
