     #Energy       W_all      Mo_all      Os_all      Ti_all
   -77.05423     0.00000     0.00000     0.00000     0.00000
   -77.04323     0.00000     0.00000     0.00000     0.00000
   -77.03223     0.00000     0.00000     0.00000     0.00000
   -77.02123     0.00000     0.00000     0.00000     0.00000
   -77.01023     0.00000     0.00000     0.00000     0.00000
   -77.00023     0.00000     0.00000     0.00000     0.00000
   -76.98923     0.00000     0.00000     0.00000     0.00000
   -76.97823     0.00000     0.00000     0.00000     0.00000
   -76.96723     0.00000     0.00000     0.00000     0.00000
   -76.95623     0.00000     0.00000     0.00000     0.00000
   -76.94523     0.00000     0.00000     0.00000     0.00000
   -76.93423     0.00000     0.00000     0.00000     0.00000
   -76.92323     0.00000     0.00000     0.00000     0.00000
   -76.91323     0.00000     0.00000     0.00000     0.00000
   -76.90223     0.00000     0.00000     0.00000     0.00000
   -76.89123     0.00000     0.00000     0.00000     0.00000
   -76.88023     0.00000     0.00000     0.00000     0.00000
   -76.86923     0.00000     0.00000     0.00000     0.00000
   -76.85823     0.00000     0.00000     0.00000     0.00000
   -76.84723     0.00000     0.00000     0.00000     0.00000
   -76.83623     0.00000     0.00000     0.00000     0.00000
   -76.82623     0.00000     0.00000     0.00000     0.00000
   -76.81523     0.00000     0.00000     0.00000     0.00000
   -76.80423     0.00000     0.00000     0.00000     0.00000
   -76.79323     0.00000     0.00000     0.00000     0.00000
   -76.78223     0.00000     0.00000     0.00000     0.00000
   -76.77123     0.00000     0.00000     0.00000     0.00000
   -76.76023     0.00000     0.00000     0.00000     0.00000
   -76.75023     0.00000     0.00000     0.00000     0.00000
   -76.73923     0.00000     0.00000     0.00000     0.00000
   -76.72823     0.00000     0.00000     0.00000     0.00000
   -76.71723     0.00000     0.00000     0.00000     0.00000
   -76.70623     0.00000     0.00000     0.00000     0.00000
   -76.69523     0.00000     0.00000     0.00000     0.00000
   -76.68423     0.00000     0.00000     0.00000     0.00000
   -76.67323     0.00000     0.00000     0.00000     0.00000
   -76.66323     0.00000     0.00000     0.00000     0.00000
   -76.65223     0.00000     0.00000     0.00000     0.00000
   -76.64123     0.00000     0.00000     0.00000     0.00000
   -76.63023     0.00000     0.00000     0.00000     0.00000
   -76.61923     0.00000     0.00000     0.00000     0.00000
   -76.60823     0.00000     0.00000     0.00000     0.00000
   -76.59723     0.00000     0.00000     0.00000     0.00000
   -76.58723     0.00000     0.00000     0.00000     0.00000
   -76.57623     0.00000     0.00000     0.00000     0.00000
   -76.56523     0.00000     0.00000     0.00000     0.00000
   -76.55423     0.00000     0.00000     0.00000     0.00000
   -76.54323     0.00000     0.00000     0.00000     0.00000
   -76.53223     0.00000     0.00000     0.00000     0.00000
   -76.52123     0.00000     0.00000     0.00000     0.00000
   -76.51023     0.00000     0.00000     0.00000     0.00000
   -76.50023     0.00000     0.00000     0.00000     0.00000
   -76.48923     0.00000     0.00000     0.00000     0.00000
   -76.47823     0.00000     0.00000     0.00000     0.00000
   -76.46723     0.00000     0.00000     0.00000     0.00000
   -76.45623     0.00000     0.00000     0.00000     0.00000
   -76.44523     0.00000     0.00000     0.00000     0.00000
   -76.43423     0.00000     0.00000     0.00000     0.00000
   -76.42323     0.00000     0.00000     0.00000     0.00000
   -76.41323     0.00000     0.00000     0.00000     0.00000
   -76.40223     0.00000     0.00000     0.00000     0.00000
   -76.39123     0.00000     0.00000     0.00000     0.00000
   -76.38023     0.00000     0.00000     0.00000     0.00000
   -76.36923     0.00000     0.00000     0.00000     0.00000
   -76.35823     0.00000     0.00000     0.00000     0.00000
   -76.34723     0.00000     0.00000     0.00000     0.00000
   -76.33723     0.00000     0.00000     0.00000     0.00000
   -76.32623     0.00000     0.00000     0.00000     0.00000
   -76.31523     0.00000     0.00000     0.00000     0.00000
   -76.30423     0.00000     0.00000     0.00000     0.00000
   -76.29323     0.00000     0.00000     0.00000     0.00000
   -76.28223     0.00000     0.00000     0.00000     0.00000
   -76.27123     0.00000     0.00000     0.00000     0.00000
   -76.26023     0.00000     0.00000     0.00000     0.00000
   -76.25023     0.00000     0.00000     0.00000     0.00000
   -76.23923     0.00000     0.00000     0.00000     0.00000
   -76.22823     0.00000     0.00000     0.00000     0.00000
   -76.21723     0.00000     0.00000     0.00000     0.00000
   -76.20623     0.00000     0.00000     0.00000     0.00000
   -76.19523     0.00000     0.00000     0.00000     0.00000
   -76.18423     0.00000     0.00000     0.00000     0.00000
   -76.17323     0.00000     0.00000     0.00000     0.00000
   -76.16323     0.00000     0.00000     0.00000     0.00000
   -76.15223     0.00000     0.00000     0.00000     0.00000
   -76.14123     0.00000     0.00000     0.00000     0.00000
   -76.13023     0.00000     0.00000     0.00000     0.00000
   -76.11923     0.00000     0.00000     0.00000     0.00000
   -76.10823     0.00000     0.00000     0.00000     0.00000
   -76.09723     0.00000     0.00000     0.00000     0.00000
   -76.08723     0.00000     0.00000     0.00000     0.00000
   -76.07623     0.00000     0.00000     0.00000     0.00000
   -76.06523     0.00000     0.00000     0.00000     0.00000
   -76.05423     0.00000     0.00000     0.00000     0.00000
