     #Energy       W_all      Mo_all      Rh_all
   -72.47709     0.00000     0.00000     0.00000
   -72.46609     0.00000     0.00000     0.00000
   -72.45509     0.00000     0.00000     0.00000
   -72.44309     0.00000     0.00000     0.00000
   -72.43209     0.00000     0.00000     0.00000
   -72.42109     0.00000     0.00000     0.00000
   -72.41009     0.00000     0.00000     0.00000
   -72.39909     0.00000     0.00000     0.00000
   -72.38809     0.00000     0.00000     0.00000
   -72.37709     0.00000     0.00000     0.00000
   -72.36609     0.00000     0.00000     0.00000
   -72.35509     0.00000     0.00000     0.00000
   -72.34309     0.00000     0.00000     0.00000
   -72.33209     0.00000     0.00000     0.00000
   -72.32109     0.00000     0.00000     0.00000
   -72.31009     0.00000     0.00000     0.00000
   -72.29909     0.00000     0.00000     0.00000
   -72.28809     0.00000     0.00000     0.00000
   -72.27709     0.00000     0.00000     0.00000
   -72.26609     0.00000     0.00000     0.00000
   -72.25409     0.00000     0.00000     0.00000
   -72.24309     0.00000     0.00000     0.00000
   -72.23209     0.00000     0.00000     0.00000
   -72.22109     0.00000     0.00000     0.00000
   -72.21009     0.00000     0.00000     0.00000
   -72.19909     0.00000     0.00000     0.00000
   -72.18809     0.00000     0.00000     0.00000
   -72.17709     0.00000     0.00000     0.00000
   -72.16509     0.00000     0.00000     0.00000
   -72.15409     0.00000     0.00000     0.00000
   -72.14309     0.00000     0.00000     0.00000
   -72.13209     0.00000     0.00000     0.00000
   -72.12109     0.00000     0.00000     0.00000
   -72.11009     0.00000     0.00000     0.00000
   -72.09909     0.00000     0.00000     0.00000
   -72.08809     0.00000     0.00000     0.00000
   -72.07609     0.00000     0.00000     0.00000
   -72.06509     0.00000     0.00000     0.00000
   -72.05409     0.00000     0.00000     0.00000
   -72.04309     0.00000     0.00000     0.00000
   -72.03209     0.00000     0.00000     0.00000
   -72.02109     0.00000     0.00000     0.00000
   -72.01009     0.00000     0.00000     0.00000
   -71.99909     0.00000     0.00000     0.00000
   -71.98709     0.00000     0.00000     0.00000
   -71.97609     0.00000     0.00000     0.00000
   -71.96509     0.00000     0.00000     0.00000
   -71.95409     0.00000     0.00000     0.00000
   -71.94309     0.00000     0.00000     0.00000
   -71.93209     0.00000     0.00000     0.00000
   -71.92109     0.00000     0.00000     0.00000
   -71.91009     0.00000     0.00000     0.00000
   -71.89909     0.00000     0.00000     0.00000
   -71.88709     0.00000     0.00000     0.00000
   -71.87609     0.00000     0.00000     0.00000
   -71.86509     0.00000     0.00000     0.00000
   -71.85409     0.00000     0.00000     0.00000
   -71.84309     0.00000     0.00000     0.00000
   -71.83209     0.00000     0.00000     0.00000
   -71.82109     0.00000     0.00000     0.00000
   -71.81009     0.00000     0.00000     0.00000
   -71.79809     0.00000     0.00000     0.00000
