     #Energy       W_all      Mo_all      Ti_all      Ru_all
   -73.44750     0.00000     0.00000     0.00000     0.00000
   -73.43650     0.00000     0.00000     0.00000     0.00000
   -73.42450     0.00000     0.00000     0.00000     0.00000
   -73.41350     0.00000     0.00000     0.00000     0.00000
   -73.40250     0.00000     0.00000     0.00000     0.00000
   -73.39150     0.00000     0.00000     0.00000     0.00000
   -73.38050     0.00000     0.00000     0.00000     0.00000
   -73.36950     0.00000     0.00000     0.00000     0.00000
   -73.35850     0.00000     0.00000     0.00000     0.00000
   -73.34750     0.00000     0.00000     0.00000     0.00000
   -73.33550     0.00000     0.00000     0.00000     0.00000
   -73.32450     0.00000     0.00000     0.00000     0.00000
   -73.31350     0.00000     0.00000     0.00000     0.00000
   -73.30250     0.00000     0.00000     0.00000     0.00000
   -73.29150     0.00000     0.00000     0.00000     0.00000
   -73.28050     0.00000     0.00000     0.00000     0.00000
   -73.26950     0.00000     0.00000     0.00000     0.00000
   -73.25850     0.00000     0.00000     0.00000     0.00000
   -73.24650     0.00000     0.00000     0.00000     0.00000
   -73.23550     0.00000     0.00000     0.00000     0.00000
   -73.22450     0.00000     0.00000     0.00000     0.00000
   -73.21350     0.00000     0.00000     0.00000     0.00000
   -73.20250     0.00000     0.00000     0.00000     0.00000
   -73.19150     0.00000     0.00000     0.00000     0.00000
   -73.18050     0.00000     0.00000     0.00000     0.00000
   -73.16950     0.00000     0.00000     0.00000     0.00000
   -73.15850     0.00000     0.00000     0.00000     0.00000
   -73.14650     0.00000     0.00000     0.00000     0.00000
   -73.13550     0.00000     0.00000     0.00000     0.00000
   -73.12450     0.00000     0.00000     0.00000     0.00000
   -73.11350     0.00000     0.00000     0.00000     0.00000
   -73.10250     0.00000     0.00000     0.00000     0.00000
   -73.09150     0.00000     0.00000     0.00000     0.00000
   -73.08050     0.00000     0.00000     0.00000     0.00000
   -73.06950     0.00000     0.00000     0.00000     0.00000
   -73.05750     0.00000     0.00000     0.00000     0.00000
   -73.04650     0.00000     0.00000     0.00000     0.00000
   -73.03550     0.00000     0.00000     0.00000     0.00000
   -73.02450     0.00000     0.00000     0.00000     0.00000
   -73.01350     0.00000     0.00000     0.00000     0.00000
   -73.00250     0.00000     0.00000     0.00000     0.00000
   -72.99150     0.00000     0.00000     0.00000     0.00000
   -72.98050     0.00000     0.00000     0.00000     0.00000
   -72.96950     0.00000     0.00000     0.00000     0.00000
   -72.95750     0.00000     0.00000     0.00000     0.00000
   -72.94650     0.00000     0.00000     0.00000     0.00000
   -72.93550     0.00000     0.00000     0.00000     0.00000
