     #Energy       W_all      Mo_all      Ti_all
   -74.77962     0.00000     0.00000     0.00000
   -74.76862     0.00000     0.00000     0.00000
   -74.75862     0.00000     0.00000     0.00000
   -74.74762     0.00000     0.00000     0.00000
   -74.73762     0.00000     0.00000     0.00000
   -74.72662     0.00000     0.00000     0.00000
   -74.71562     0.00000     0.00000     0.00000
   -74.70562     0.00000     0.00000     0.00000
   -74.69462     0.00000     0.00000     0.00000
   -74.68462     0.00000     0.00000     0.00000
   -74.67362     0.00000     0.00000     0.00000
   -74.66362     0.00000     0.00000     0.00000
   -74.65262     0.00000     0.00000     0.00000
   -74.64162     0.00000     0.00000     0.00000
   -74.63162     0.00000     0.00000     0.00000
   -74.62062     0.00000     0.00000     0.00000
   -74.61062     0.00000     0.00000     0.00000
   -74.59962     0.00000     0.00000     0.00000
   -74.58962     0.00000     0.00000     0.00000
   -74.57862     0.00000     0.00000     0.00000
   -74.56762     0.00000     0.00000     0.00000
   -74.55762     0.00000     0.00000     0.00000
   -74.54662     0.00000     0.00000     0.00000
   -74.53662     0.00000     0.00000     0.00000
   -74.52562     0.00000     0.00000     0.00000
   -74.51462     0.00000     0.00000     0.00000
   -74.50462     0.00000     0.00000     0.00000
   -74.49362     0.00000     0.00000     0.00000
   -74.48362     0.00000     0.00000     0.00000
   -74.47262     0.00000     0.00000     0.00000
   -74.46262     0.00000     0.00000     0.00000
   -74.45162     0.00000     0.00000     0.00000
   -74.44062     0.00000     0.00000     0.00000
   -74.43062     0.00000     0.00000     0.00000
   -74.41962     0.00000     0.00000     0.00000
   -74.40962     0.00000     0.00000     0.00000
   -74.39862     0.00000     0.00000     0.00000
   -74.38862     0.00000     0.00000     0.00000
   -74.37762     0.00000     0.00000     0.00000
   -74.36662     0.00000     0.00000     0.00000
   -74.35662     0.00000     0.00000     0.00000
   -74.34562     0.00000     0.00000     0.00000
   -74.33562     0.00000     0.00000     0.00000
   -74.32462     0.00000     0.00000     0.00000
   -74.31462     0.00000     0.00000     0.00000
   -74.30362     0.00000     0.00000     0.00000
   -74.29262     0.00000     0.00000     0.00000
   -74.28262     0.00000     0.00000     0.00000
   -74.27162     0.00000     0.00000     0.00000
   -74.26162     0.00000     0.00000     0.00000
   -74.25062     0.00000     0.00000     0.00000
   -74.24062     0.00000     0.00000     0.00000
   -74.22962     0.00000     0.00000     0.00000
   -74.21862     0.00000     0.00000     0.00000
   -74.20862     0.00000     0.00000     0.00000
   -74.19762     0.00000     0.00000     0.00000
   -74.18762     0.00000     0.00000     0.00000
