     #Energy       W_all      Mo_all      Ti_all      Re_all
   -80.61272     0.00000     0.00000     0.00000     0.00000
   -80.60172     0.00000     0.00000     0.00000     0.00000
   -80.59072     0.00000     0.00000     0.00000     0.00000
   -80.57872     0.00000     0.00000     0.00000     0.00000
   -80.56772     0.00000     0.00000     0.00000     0.00000
   -80.55572     0.00000     0.00000     0.00000     0.00000
   -80.54472     0.00000     0.00000     0.00000     0.00000
   -80.53272     0.00000     0.00000     0.00000     0.00000
   -80.52172     0.00000     0.00000     0.00000     0.00000
   -80.51072     0.00000     0.00000     0.00000     0.00000
   -80.49872     0.00000     0.00000     0.00000     0.00000
   -80.48772     0.00000     0.00000     0.00000     0.00000
   -80.47572     0.00000     0.00000     0.00000     0.00000
   -80.46472     0.00000     0.00000     0.00000     0.00000
   -80.45272     0.00000     0.00000     0.00000     0.00000
   -80.44172     0.00000     0.00000     0.00000     0.00000
   -80.43072     0.00000     0.00000     0.00000     0.00000
   -80.41872     0.00000     0.00000     0.00000     0.00000
   -80.40772     0.00000     0.00000     0.00000     0.00000
   -80.39572     0.00000     0.00000     0.00000     0.00000
   -80.38472     0.00000     0.00000     0.00000     0.00000
   -80.37272     0.00000     0.00000     0.00000     0.00000
   -80.36172     0.00000     0.00000     0.00000     0.00000
   -80.34972     0.00000     0.00000     0.00000     0.00000
   -80.33872     0.00000     0.00000     0.00000     0.00000
   -80.32772     0.00000     0.00000     0.00000     0.00000
   -80.31572     0.00000     0.00000     0.00000     0.00000
   -80.30472     0.00000     0.00000     0.00000     0.00000
   -80.29272     0.00000     0.00000     0.00000     0.00000
   -80.28172     0.00000     0.00000     0.00000     0.00000
   -80.26972     0.00000     0.00000     0.00000     0.00000
   -80.25872     0.00000     0.00000     0.00000     0.00000
   -80.24772     0.00000     0.00000     0.00000     0.00000
   -80.23572     0.00000     0.00000     0.00000     0.00000
   -80.22472     0.00000     0.00000     0.00000     0.00000
   -80.21272     0.00000     0.00000     0.00000     0.00000
   -80.20172     0.00000     0.00000     0.00000     0.00000
   -80.18972     0.00475     0.00253     0.00032   203.48057
   -80.17872     0.00000     0.00000     0.00000     0.00000
   -80.16672     0.00000     0.00000     0.00000     0.00000
   -80.15572     0.00000     0.00000     0.00000     0.00000
   -80.14472     0.00516     0.00171     0.00032   203.21060
   -80.13272     0.00000     0.00000     0.00000     0.00000
   -80.12172     0.00000     0.00000     0.00000     0.00000
   -80.10972     0.00000     0.00000     0.00000     0.00000
   -80.09872     0.00000     0.00000     0.00000     0.00000
   -80.08672     0.00000     0.00000     0.00000     0.00000
   -80.07572     0.00000     0.00000     0.00000     0.00000
   -80.06472     0.00000     0.00000     0.00000     0.00000
   -80.05272     0.00000     0.00000     0.00000     0.00000
   -80.04172     0.00299     0.00307     0.00058   203.60024
   -80.02972     0.00000     0.00000     0.00000     0.00000
   -80.01872     0.00000     0.00000     0.00000     0.00000
   -80.00672     0.00000     0.00000     0.00000     0.00000
   -79.99572     0.00000     0.00000     0.00000     0.00000
   -79.98372     0.00000     0.00000     0.00000     0.00000
   -79.97272     0.00000     0.00000     0.00000     0.00000
   -79.96172     0.00000     0.00000     0.00000     0.00000
   -79.94972     0.00000     0.00000     0.00000     0.00000
   -79.93872     0.00000     0.00000     0.00000     0.00000
   -79.92672     0.00000     0.00000     0.00000     0.00000
   -79.91572     0.00000     0.00000     0.00000     0.00000
   -79.90372     0.00000     0.00000     0.00000     0.00000
   -79.89272     0.00000     0.00000     0.00000     0.00000
   -79.88172     0.00000     0.00000     0.00000     0.00000
   -79.86972     0.00000     0.00000     0.00000     0.00000
   -79.85872     0.00000     0.00000     0.00000     0.00000
   -79.84672     0.00000     0.00000     0.00000     0.00000
   -79.83572     0.00000     0.00000     0.00000     0.00000
   -79.82372     0.00000     0.00000     0.00000     0.00000
   -79.81272     0.00000     0.00000     0.00000     0.00000
   -79.80072     0.00000     0.00000     0.00000     0.00000
   -79.78972     0.00000     0.00000     0.00000     0.00000
   -79.77872     0.00000     0.00000     0.00000     0.00000
   -79.76672     0.00000     0.00000     0.00000     0.00000
   -79.75572     0.00000     0.00000     0.00000     0.00000
   -79.74372     0.00000     0.00000     0.00000     0.00000
   -79.73272     0.00000     0.00000     0.00000     0.00000
   -79.72072     0.00000     0.00000     0.00000     0.00000
   -79.70972     0.00000     0.00000     0.00000     0.00000
   -79.69872     0.00000     0.00000     0.00000     0.00000
   -79.68672     0.00000     0.00000     0.00000     0.00000
   -79.67572     0.00000     0.00000     0.00000     0.00000
   -79.66372     0.00000     0.00000     0.00000     0.00000
   -79.65272     0.00000     0.00000     0.00000     0.00000
   -79.64072     0.00000     0.00000     0.00000     0.00000
   -79.62972     0.00000     0.00000     0.00000     0.00000
   -79.61872     0.00000     0.00000     0.00000     0.00000
   -79.60672     0.00000     0.00000     0.00000     0.00000
   -79.59572     0.00000     0.00000     0.00000     0.00000
   -79.58372     0.00000     0.00000     0.00000     0.00000
   -79.57272     0.00000     0.00000     0.00000     0.00000
   -79.56072     0.00000     0.00000     0.00000     0.00000
   -79.54972     0.00000     0.00000     0.00000     0.00000
   -79.53772     0.00000     0.00000     0.00000     0.00000
   -79.52672     0.00000     0.00000     0.00000     0.00000
   -79.51572     0.00000     0.00000     0.00000     0.00000
   -79.50372     0.00000     0.00000     0.00000     0.00000
   -79.49272     0.00000     0.00000     0.00000     0.00000
