     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -77.02573     0.00000     0.00000     0.00000     0.00000
   -77.01473     0.00000     0.00000     0.00000     0.00000
   -77.00373     0.00000     0.00000     0.00000     0.00000
   -76.99273     0.00000     0.00000     0.00000     0.00000
   -76.98173     0.00000     0.00000     0.00000     0.00000
   -76.97173     0.00000     0.00000     0.00000     0.00000
   -76.96073     0.00000     0.00000     0.00000     0.00000
   -76.94973     0.00000     0.00000     0.00000     0.00000
   -76.93873     0.00000     0.00000     0.00000     0.00000
   -76.92773     0.00000     0.00000     0.00000     0.00000
   -76.91673     0.00000     0.00000     0.00000     0.00000
   -76.90673     0.00000     0.00000     0.00000     0.00000
   -76.89573     0.00000     0.00000     0.00000     0.00000
   -76.88473     0.00000     0.00000     0.00000     0.00000
   -76.87373     0.00000     0.00000     0.00000     0.00000
   -76.86273     0.00000     0.00000     0.00000     0.00000
   -76.85273     0.00000     0.00000     0.00000     0.00000
   -76.84173     0.00000     0.00000     0.00000     0.00000
   -76.83073     0.00000     0.00000     0.00000     0.00000
   -76.81973     0.00000     0.00000     0.00000     0.00000
   -76.80873     0.00000     0.00000     0.00000     0.00000
   -76.79773     0.00000     0.00000     0.00000     0.00000
   -76.78773     0.00000     0.00000     0.00000     0.00000
   -76.77673     0.00000     0.00000     0.00000     0.00000
   -76.76573     0.00000     0.00000     0.00000     0.00000
   -76.75473     0.00000     0.00000     0.00000     0.00000
   -76.74373     0.00000     0.00000     0.00000     0.00000
   -76.73273     0.00000     0.00000     0.00000     0.00000
   -76.72273     0.00000     0.00000     0.00000     0.00000
   -76.71173     0.00000     0.00000     0.00000     0.00000
   -76.70073     0.00000     0.00000     0.00000     0.00000
   -76.68973     0.00000     0.00000     0.00000     0.00000
   -76.67873     0.00000     0.00000     0.00000     0.00000
   -76.66873     0.00000     0.00000     0.00000     0.00000
   -76.65773     0.00000     0.00000     0.00000     0.00000
   -76.64673     0.00000     0.00000     0.00000     0.00000
   -76.63573     0.00000     0.00000     0.00000     0.00000
   -76.62473     0.00000     0.00000     0.00000     0.00000
   -76.61373     0.00000     0.00000     0.00000     0.00000
   -76.60373     0.00000     0.00000     0.00000     0.00000
   -76.59273     0.00000     0.00000     0.00000     0.00000
   -76.58173     0.00000     0.00000     0.00000     0.00000
