     #Energy       W_all      Mo_all      Ru_all      Zr_all
   -76.21578     0.00000     0.00000     0.00000     0.00000
   -76.20478     0.00000     0.00000     0.00000     0.00000
   -76.19378     0.00000     0.00000     0.00000     0.00000
   -76.18378     0.00000     0.00000     0.00000     0.00000
   -76.17278     0.00000     0.00000     0.00000     0.00000
   -76.16178     0.00000     0.00000     0.00000     0.00000
   -76.15078     0.00000     0.00000     0.00000     0.00000
   -76.14078     0.00000     0.00000     0.00000     0.00000
   -76.12978     0.00000     0.00000     0.00000     0.00000
   -76.11878     0.00000     0.00000     0.00000     0.00000
   -76.10778     0.00000     0.00000     0.00000     0.00000
   -76.09778     0.00000     0.00000     0.00000     0.00000
   -76.08678     0.00000     0.00000     0.00000     0.00000
   -76.07578     0.00000     0.00000     0.00000     0.00000
   -76.06478     0.00000     0.00000     0.00000     0.00000
   -76.05478     0.00000     0.00000     0.00000     0.00000
   -76.04378     0.00000     0.00000     0.00000     0.00000
   -76.03278     0.00000     0.00000     0.00000     0.00000
   -76.02178     0.00000     0.00000     0.00000     0.00000
   -76.01078     0.00000     0.00000     0.00000     0.00000
   -76.00078     0.00000     0.00000     0.00000     0.00000
   -75.98978     0.00000     0.00000     0.00000     0.00000
   -75.97878     0.00000     0.00000     0.00000     0.00000
   -75.96778     0.00000     0.00000     0.00000     0.00000
   -75.95778     0.00000     0.00000     0.00000     0.00000
   -75.94678     0.00000     0.00000     0.00000     0.00000
   -75.93578     0.00000     0.00000     0.00000     0.00000
   -75.92478     0.00000     0.00000     0.00000     0.00000
   -75.91478     0.00000     0.00000     0.00000     0.00000
   -75.90378     0.00000     0.00000     0.00000     0.00000
   -75.89278     0.00000     0.00000     0.00000     0.00000
   -75.88178     0.00000     0.00000     0.00000     0.00000
   -75.87178     0.00000     0.00000     0.00000     0.00000
   -75.86078     0.00000     0.00000     0.00000     0.00000
   -75.84978     0.00000     0.00000     0.00000     0.00000
   -75.83878     0.00000     0.00000     0.00000     0.00000
   -75.82878     0.00000     0.00000     0.00000     0.00000
   -75.81778     0.00000     0.00000     0.00000     0.00000
   -75.80678     0.00000     0.00000     0.00000     0.00000
   -75.79578     0.00000     0.00000     0.00000     0.00000
   -75.78578     0.00000     0.00000     0.00000     0.00000
   -75.77478     0.00000     0.00000     0.00000     0.00000
   -75.76378     0.00000     0.00000     0.00000     0.00000
   -75.75278     0.00000     0.00000     0.00000     0.00000
   -75.74278     0.00000     0.00000     0.00000     0.00000
   -75.73178     0.00000     0.00000     0.00000     0.00000
   -75.72078     0.00000     0.00000     0.00000     0.00000
   -75.70978     0.00000     0.00000     0.00000     0.00000
   -75.69978     0.00000     0.00000     0.00000     0.00000
   -75.68878     0.00000     0.00000     0.00000     0.00000
   -75.67778     0.00000     0.00000     0.00000     0.00000
   -75.66678     0.00000     0.00000     0.00000     0.00000
   -75.65678     0.00000     0.00000     0.00000     0.00000
   -75.64578     0.00000     0.00000     0.00000     0.00000
   -75.63478     0.00000     0.00000     0.00000     0.00000
   -75.62378     0.00000     0.00000     0.00000     0.00000
   -75.61378     0.00000     0.00000     0.00000     0.00000
   -75.60278     0.00000     0.00000     0.00000     0.00000
   -75.59178     0.00000     0.00000     0.00000     0.00000
