     #Energy       W_all      Mo_all      Ti_all      Pd_all
   -75.43702     0.00000     0.00000     0.00000     0.00000
   -75.42702     0.00000     0.00000     0.00000     0.00000
   -75.41602     0.00000     0.00000     0.00000     0.00000
   -75.40502     0.00000     0.00000     0.00000     0.00000
   -75.39502     0.00000     0.00000     0.00000     0.00000
   -75.38402     0.00000     0.00000     0.00000     0.00000
   -75.37402     0.00000     0.00000     0.00000     0.00000
   -75.36302     0.00000     0.00000     0.00000     0.00000
   -75.35202     0.00000     0.00000     0.00000     0.00000
   -75.34202     0.00000     0.00000     0.00000     0.00000
   -75.33102     0.00000     0.00000     0.00000     0.00000
   -75.32102     0.00000     0.00000     0.00000     0.00000
   -75.31002     0.00000     0.00000     0.00000     0.00000
   -75.29902     0.00000     0.00000     0.00000     0.00000
   -75.28902     0.00000     0.00000     0.00000     0.00000
   -75.27802     0.00000     0.00000     0.00000     0.00000
   -75.26802     0.00000     0.00000     0.00000     0.00000
   -75.25702     0.00000     0.00000     0.00000     0.00000
   -75.24602     0.00000     0.00000     0.00000     0.00000
   -75.23602     0.00000     0.00000     0.00000     0.00000
   -75.22502     0.00000     0.00000     0.00000     0.00000
   -75.21502     0.00000     0.00000     0.00000     0.00000
   -75.20402     0.00000     0.00000     0.00000     0.00000
   -75.19402     0.00000     0.00000     0.00000     0.00000
   -75.18302     0.00000     0.00000     0.00000     0.00000
   -75.17202     0.00000     0.00000     0.00000     0.00000
   -75.16202     0.00000     0.00000     0.00000     0.00000
   -75.15102     0.00000     0.00000     0.00000     0.00000
   -75.14102     0.00000     0.00000     0.00000     0.00000
   -75.13002     0.00000     0.00000     0.00000     0.00000
   -75.11902     0.00000     0.00000     0.00000     0.00000
   -75.10902     0.00000     0.00000     0.00000     0.00000
   -75.09802     0.00000     0.00000     0.00000     0.00000
   -75.08802     0.00000     0.00000     0.00000     0.00000
   -75.07702     0.00000     0.00000     0.00000     0.00000
   -75.06602     0.00000     0.00000     0.00000     0.00000
   -75.05602     0.00000     0.00000     0.00000     0.00000
   -75.04502     0.00000     0.00000     0.00000     0.00000
   -75.03502     0.00000     0.00000     0.00000     0.00000
   -75.02402     0.00000     0.00000     0.00000     0.00000
   -75.01302     0.00000     0.00000     0.00000     0.00000
   -75.00302     0.00000     0.00000     0.00000     0.00000
   -74.99202     0.00000     0.00000     0.00000     0.00000
   -74.98202     0.00000     0.00000     0.00000     0.00000
   -74.97102     0.00000     0.00000     0.00000     0.00000
   -74.96002     0.00000     0.00000     0.00000     0.00000
   -74.95002     0.00000     0.00000     0.00000     0.00000
   -74.93902     0.00000     0.00000     0.00000     0.00000
   -74.92902     0.00000     0.00000     0.00000     0.00000
   -74.91802     0.00000     0.00000     0.00000     0.00000
   -74.90702     0.00000     0.00000     0.00000     0.00000
   -74.89702     0.00000     0.00000     0.00000     0.00000
   -74.88602     0.00000     0.00000     0.00000     0.00000
   -74.87602     0.00000     0.00000     0.00000     0.00000
   -74.86502     0.00000     0.00000     0.00000     0.00000
   -74.85402     0.00000     0.00000     0.00000     0.00000
   -74.84402     0.00000     0.00000     0.00000     0.00000
   -74.83302     0.00000     0.00000     0.00000     0.00000
   -74.82302     0.00000     0.00000     0.00000     0.00000
   -74.81202     0.00000     0.00000     0.00000     0.00000
   -74.80202     0.00000     0.00000     0.00000     0.00000
   -74.79102     0.00000     0.00000     0.00000     0.00000
   -74.78002     0.00000     0.00000     0.00000     0.00000
   -74.77002     0.00000     0.00000     0.00000     0.00000
   -74.75902     0.00000     0.00000     0.00000     0.00000
   -74.74902     0.00000     0.00000     0.00000     0.00000
   -74.73802     0.00000     0.00000     0.00000     0.00000
   -74.72702     0.00000     0.00000     0.00000     0.00000
   -74.71702     0.00000     0.00000     0.00000     0.00000
   -74.70602     0.00000     0.00000     0.00000     0.00000
   -74.69602     0.00000     0.00000     0.00000     0.00000
   -74.68502     0.00000     0.00000     0.00000     0.00000
   -74.67402     0.00000     0.00000     0.00000     0.00000
   -74.66402     0.00000     0.00000     0.00000     0.00000
   -74.65302     0.00000     0.00000     0.00000     0.00000
   -74.64302     0.00000     0.00000     0.00000     0.00000
   -74.63202     0.00000     0.00000     0.00000     0.00000
   -74.62102     0.00000     0.00000     0.00000     0.00000
   -74.61102     0.00000     0.00000     0.00000     0.00000
   -74.60002     0.00000     0.00000     0.00000     0.00000
   -74.59002     0.00000     0.00000     0.00000     0.00000
   -74.57902     0.00000     0.00000     0.00000     0.00000
   -74.56802     0.00000     0.00000     0.00000     0.00000
   -74.55802     0.00000     0.00000     0.00000     0.00000
   -74.54702     0.00000     0.00000     0.00000     0.00000
   -74.53702     0.00000     0.00000     0.00000     0.00000
   -74.52602     0.00000     0.00000     0.00000     0.00000
   -74.51502     0.00000     0.00000     0.00000     0.00000
   -74.50502     0.00000     0.00000     0.00000     0.00000
   -74.49402     0.00000     0.00000     0.00000     0.00000
   -74.48402     0.00000     0.00000     0.00000     0.00000
   -74.47302     0.00000     0.00000     0.00000     0.00000
   -74.46202     0.00000     0.00000     0.00000     0.00000
   -74.45202     0.00000     0.00000     0.00000     0.00000
   -74.44102     0.00000     0.00000     0.00000     0.00000
   -74.43102     0.00000     0.00000     0.00000     0.00000
   -74.42002     0.00000     0.00000     0.00000     0.00000
   -74.41002     0.00000     0.00000     0.00000     0.00000
   -74.39902     0.00000     0.00000     0.00000     0.00000
   -74.38802     0.00000     0.00000     0.00000     0.00000
   -74.37802     0.00000     0.00000     0.00000     0.00000
   -74.36702     0.00000     0.00000     0.00000     0.00000
   -74.35702     0.00000     0.00000     0.00000     0.00000
   -74.34602     0.00000     0.00000     0.00000     0.00000
   -74.33502     0.00000     0.00000     0.00000     0.00000
   -74.32502     0.00000     0.00000     0.00000     0.00000
   -74.31402     0.00000     0.00000     0.00000     0.00000
   -74.30402     0.00000     0.00000     0.00000     0.00000
   -74.29302     0.00000     0.00000     0.00000     0.00000
   -74.28202     0.00000     0.00000     0.00000     0.00000
   -74.27202     0.00000     0.00000     0.00000     0.00000
   -74.26102     0.00000     0.00000     0.00000     0.00000
   -74.25102     0.00000     0.00000     0.00000     0.00000
   -74.24002     0.00000     0.00000     0.00000     0.00000
   -74.22902     0.00000     0.00000     0.00000     0.00000
   -74.21902     0.00000     0.00000     0.00000     0.00000
   -74.20802     0.00000     0.00000     0.00000     0.00000
   -74.19802     0.00000     0.00000     0.00000     0.00000
   -74.18702     0.00000     0.00000     0.00000     0.00000
   -74.17602     0.00000     0.00000     0.00000     0.00000
   -74.16602     0.00000     0.00000     0.00000     0.00000
   -74.15502     0.00000     0.00000     0.00000     0.00000
   -74.14502     0.00000     0.00000     0.00000     0.00000
   -74.13402     0.00000     0.00000     0.00000     0.00000
   -74.12302     0.00000     0.00000     0.00000     0.00000
   -74.11302     0.00000     0.00000     0.00000     0.00000
