     #Energy       W_all      Mo_all      Pt_all      Hf_all
   -75.37072     0.00000     0.00000     0.00000     0.00000
   -75.36072     0.00000     0.00000     0.00000     0.00000
   -75.34972     0.00000     0.00000     0.00000     0.00000
   -75.33872     0.00000     0.00000     0.00000     0.00000
   -75.32772     0.00000     0.00000     0.00000     0.00000
   -75.31672     0.00000     0.00000     0.00000     0.00000
   -75.30572     0.00000     0.00000     0.00000     0.00000
   -75.29472     0.00000     0.00000     0.00000     0.00000
   -75.28372     0.00000     0.00000     0.00000     0.00000
   -75.27272     0.00000     0.00000     0.00000     0.00000
   -75.26172     0.00000     0.00000     0.00000     0.00000
   -75.25072     0.00000     0.00000     0.00000     0.00000
   -75.23972     0.00000     0.00000     0.00000     0.00000
   -75.22872     0.00000     0.00000     0.00000     0.00000
   -75.21772     0.00000     0.00000     0.00000     0.00000
   -75.20672     0.00000     0.00000     0.00000     0.00000
   -75.19572     0.00000     0.00000     0.00000     0.00000
   -75.18472     0.00000     0.00000     0.00000     0.00000
   -75.17372     0.00000     0.00000     0.00000     0.00000
   -75.16272     0.00000     0.00000     0.00000     0.00000
   -75.15172     0.00000     0.00000     0.00000     0.00000
   -75.14072     0.00000     0.00000     0.00000     0.00000
   -75.12972     0.00000     0.00000     0.00000     0.00000
   -75.11872     0.00000     0.00000     0.00000     0.00000
   -75.10772     0.00000     0.00000     0.00000     0.00000
   -75.09672     0.00000     0.00000     0.00000     0.00000
   -75.08572     0.00000     0.00000     0.00000     0.00000
   -75.07472     0.00000     0.00000     0.00000     0.00000
   -75.06372     0.00000     0.00000     0.00000     0.00000
   -75.05272     0.00000     0.00000     0.00000     0.00000
   -75.04172     0.00000     0.00000     0.00000     0.00000
   -75.03072     0.00000     0.00000     0.00000     0.00000
   -75.01972     0.00000     0.00000     0.00000     0.00000
   -75.00872     0.00000     0.00000     0.00000     0.00000
   -74.99772     0.00000     0.00000     0.00000     0.00000
   -74.98672     0.00000     0.00000     0.00000     0.00000
   -74.97572     0.00000     0.00000     0.00000     0.00000
   -74.96472     0.00000     0.00000     0.00000     0.00000
   -74.95372     0.00000     0.00000     0.00000     0.00000
   -74.94272     0.00000     0.00000     0.00000     0.00000
   -74.93172     0.00000     0.00000     0.00000     0.00000
   -74.92072     0.00000     0.00000     0.00000     0.00000
   -74.90972     0.00000     0.00000     0.00000     0.00000
   -74.89872     0.00000     0.00000     0.00000     0.00000
   -74.88772     0.00000     0.00000     0.00000     0.00000
   -74.87672     0.00000     0.00000     0.00000     0.00000
   -74.86572     0.00000     0.00000     0.00000     0.00000
   -74.85472     0.00000     0.00000     0.00000     0.00000
   -74.84372     0.00000     0.00000     0.00000     0.00000
   -74.83272     0.00000     0.00000     0.00000     0.00000
   -74.82172     0.00000     0.00000     0.00000     0.00000
   -74.81172     0.00000     0.00000     0.00000     0.00000
   -74.80072     0.00000     0.00000     0.00000     0.00000
   -74.78972     0.00000     0.00000     0.00000     0.00000
   -74.77872     0.00000     0.00000     0.00000     0.00000
   -74.76772     0.00000     0.00000     0.00000     0.00000
   -74.75672     0.00000     0.00000     0.00000     0.00000
   -74.74572     0.00000     0.00000     0.00000     0.00000
   -74.73472     0.00000     0.00000     0.00000     0.00000
   -74.72372     0.00000     0.00000     0.00000     0.00000
   -74.71272     0.00000     0.00000     0.00000     0.00000
   -74.70172     0.00000     0.00000     0.00000     0.00000
   -74.69072     0.00000     0.00000     0.00000     0.00000
   -74.67972     0.00000     0.00000     0.00000     0.00000
   -74.66872     0.00000     0.00000     0.00000     0.00000
   -74.65772     0.00000     0.00000     0.00000     0.00000
   -74.64672     0.00000     0.00000     0.00000     0.00000
   -74.63572     0.00000     0.00000     0.00000     0.00000
   -74.62472     0.00000     0.00000     0.00000     0.00000
   -74.61372     0.00000     0.00000     0.00000     0.00000
   -74.60272     0.00000     0.00000     0.00000     0.00000
   -74.59172     0.00000     0.00000     0.00000     0.00000
   -74.58072     0.00000     0.00000     0.00000     0.00000
   -74.56972     0.00000     0.00000     0.00000     0.00000
   -74.55872     0.00000     0.00000     0.00000     0.00000
   -74.54772     0.00000     0.00000     0.00000     0.00000
   -74.53672     0.00000     0.00000     0.00000     0.00000
   -74.52572     0.00000     0.00000     0.00000     0.00000
   -74.51472     0.00000     0.00000     0.00000     0.00000
   -74.50372     0.00000     0.00000     0.00000     0.00000
   -74.49272     0.00000     0.00000     0.00000     0.00000
   -74.48172     0.00000     0.00000     0.00000     0.00000
   -74.47072     0.00000     0.00000     0.00000     0.00000
   -74.45972     0.00000     0.00000     0.00000     0.00000
   -74.44872     0.00000     0.00000     0.00000     0.00000
   -74.43772     0.00000     0.00000     0.00000     0.00000
   -74.42672     0.00000     0.00000     0.00000     0.00000
   -74.41572     0.00000     0.00000     0.00000     0.00000
   -74.40472     0.00000     0.00000     0.00000     0.00000
   -74.39372     0.00000     0.00000     0.00000     0.00000
   -74.38272     0.00000     0.00000     0.00000     0.00000
   -74.37172     0.00000     0.00000     0.00000     0.00000
   -74.36072     0.00000     0.00000     0.00000     0.00000
   -74.34972     0.00000     0.00000     0.00000     0.00000
   -74.33872     0.00000     0.00000     0.00000     0.00000
   -74.32772     0.00000     0.00000     0.00000     0.00000
   -74.31672     0.00000     0.00000     0.00000     0.00000
   -74.30572     0.00000     0.00000     0.00000     0.00000
   -74.29472     0.00000     0.00000     0.00000     0.00000
   -74.28372     0.00000     0.00000     0.00000     0.00000
   -74.27272     0.00000     0.00000     0.00000     0.00000
   -74.26272     0.00000     0.00000     0.00000     0.00000
   -74.25172     0.00000     0.00000     0.00000     0.00000
   -74.24072     0.00000     0.00000     0.00000     0.00000
   -74.22972     0.00000     0.00000     0.00000     0.00000
   -74.21872     0.00000     0.00000     0.00000     0.00000
   -74.20772     0.00000     0.00000     0.00000     0.00000
   -74.19672     0.00000     0.00000     0.00000     0.00000
   -74.18572     0.00000     0.00000     0.00000     0.00000
   -74.17472     0.00000     0.00000     0.00000     0.00000
   -74.16372     0.00000     0.00000     0.00000     0.00000
   -74.15272     0.00000     0.00000     0.00000     0.00000
   -74.14172     0.00000     0.00000     0.00000     0.00000
   -74.13072     0.00000     0.00000     0.00000     0.00000
   -74.11972     0.00000     0.00000     0.00000     0.00000
   -74.10872   181.71010     0.00484     0.00232     0.00001
   -74.09772     0.00000     0.00000     0.00000     0.00000
   -74.08672   181.71397     0.00580     0.00270     0.00001
   -74.07572     0.00000     0.00000     0.00000     0.00000
   -74.06472     0.00000     0.00000     0.00000     0.00000
   -74.05372     0.00000     0.00000     0.00000     0.00000
   -74.04272   181.68110     0.00762     0.00128     0.00095
   -74.03172     0.00000     0.00000     0.00000     0.00000
   -74.02072     0.00000     0.00000     0.00000     0.00000
   -74.00972   181.72615     0.00457     0.00015     0.00007
   -73.99872     0.00000     0.00000     0.00000     0.00000
   -73.98772     0.00000     0.00000     0.00000     0.00000
   -73.97672     0.00000     0.00000     0.00000     0.00000
   -73.96572     0.00000     0.00000     0.00000     0.00000
   -73.95472     0.00000     0.00000     0.00000     0.00000
   -73.94372     0.00000     0.00000     0.00000     0.00000
   -73.93272   181.66870     0.00831     0.00177     0.00131
   -73.92172     0.00000     0.00000     0.00000     0.00000
   -73.91072     0.00000     0.00000     0.00000     0.00000
   -73.89972     0.00000     0.00000     0.00000     0.00000
   -73.88872   181.74628     0.00376     0.00155     0.00096
   -73.87772     0.00000     0.00000     0.00000     0.00000
   -73.86672     0.00000     0.00000     0.00000     0.00000
   -73.85572     0.00000     0.00000     0.00000     0.00000
   -73.84472   181.70708     0.00374     0.00153     0.00181
   -73.83372     0.00000     0.00000     0.00000     0.00000
   -73.82272   181.64377     0.00490     0.00066     0.00068
   -73.81172     0.00000     0.00000     0.00000     0.00000
   -73.80072   995.37157     0.02594     0.01178     0.00812
   -73.78972   164.87431     0.00428     0.00190     0.00127
   -73.77872   181.69567     0.00265     0.00114     0.00213
   -73.76772   363.59222     0.00769     0.00231     0.00393
   -73.75672     0.00000     0.00000     0.00000     0.00000
   -73.74572     0.00000     0.00000     0.00000     0.00000
   -73.73472   181.77621     0.00443     0.00018     0.00167
   -73.72372     0.00000     0.00000     0.00000     0.00000
   -73.71372     0.00000     0.00000     0.00000     0.00000
   -73.70272   181.70643     0.00488     0.00002     0.00238
   -73.69172     0.00000     0.00000     0.00000     0.00000
   -73.68072     0.00000     0.00000     0.00000     0.00000
