     #Energy       W_all      Mo_all      Pt_all
   -72.80916     0.00000     0.00000     0.00000
   -72.79816     0.00000     0.00000     0.00000
   -72.78816     0.00000     0.00000     0.00000
   -72.77716     0.00000     0.00000     0.00000
   -72.76616     0.00000     0.00000     0.00000
   -72.75516     0.00000     0.00000     0.00000
   -72.74516     0.00000     0.00000     0.00000
   -72.73416     0.00000     0.00000     0.00000
   -72.72316     0.00000     0.00000     0.00000
   -72.71316     0.00000     0.00000     0.00000
   -72.70216     0.00000     0.00000     0.00000
   -72.69116     0.00000     0.00000     0.00000
   -72.68116     0.00000     0.00000     0.00000
   -72.67016     0.00000     0.00000     0.00000
   -72.65916     0.00000     0.00000     0.00000
   -72.64916     0.00000     0.00000     0.00000
   -72.63816     0.00000     0.00000     0.00000
   -72.62716     0.00000     0.00000     0.00000
   -72.61716     0.00000     0.00000     0.00000
   -72.60616     0.00000     0.00000     0.00000
   -72.59516     0.00000     0.00000     0.00000
   -72.58416     0.00000     0.00000     0.00000
   -72.57416     0.00000     0.00000     0.00000
   -72.56316     0.00000     0.00000     0.00000
   -72.55216     0.00000     0.00000     0.00000
   -72.54216     0.00000     0.00000     0.00000
   -72.53116     0.00000     0.00000     0.00000
   -72.52016     0.00000     0.00000     0.00000
   -72.51016     0.00000     0.00000     0.00000
   -72.49916     0.00000     0.00000     0.00000
   -72.48816     0.00000     0.00000     0.00000
   -72.47816     0.00000     0.00000     0.00000
   -72.46716     0.00000     0.00000     0.00000
   -72.45616     0.00000     0.00000     0.00000
   -72.44616     0.00000     0.00000     0.00000
   -72.43516     0.00000     0.00000     0.00000
   -72.42416     0.00000     0.00000     0.00000
   -72.41316     0.00000     0.00000     0.00000
   -72.40316     0.00000     0.00000     0.00000
   -72.39216     0.00000     0.00000     0.00000
   -72.38116     0.00000     0.00000     0.00000
   -72.37116     0.00000     0.00000     0.00000
   -72.36016     0.00000     0.00000     0.00000
   -72.34916     0.00000     0.00000     0.00000
   -72.33916     0.00000     0.00000     0.00000
   -72.32816     0.00000     0.00000     0.00000
   -72.31716     0.00000     0.00000     0.00000
   -72.30716     0.00000     0.00000     0.00000
   -72.29616     0.00000     0.00000     0.00000
   -72.28516     0.00000     0.00000     0.00000
   -72.27516     0.00000     0.00000     0.00000
   -72.26416     0.00000     0.00000     0.00000
   -72.25316     0.00000     0.00000     0.00000
   -72.24216     0.00000     0.00000     0.00000
   -72.23216     0.00000     0.00000     0.00000
   -72.22116     0.00000     0.00000     0.00000
   -72.21016     0.00000     0.00000     0.00000
   -72.20016     0.00000     0.00000     0.00000
   -72.18916     0.00000     0.00000     0.00000
   -72.17816     0.00000     0.00000     0.00000
   -72.16816     0.00000     0.00000     0.00000
   -72.15716     0.00000     0.00000     0.00000
   -72.14616     0.00000     0.00000     0.00000
   -72.13616     0.00000     0.00000     0.00000
   -72.12516     0.00000     0.00000     0.00000
   -72.11416     0.00000     0.00000     0.00000
   -72.10416     0.00000     0.00000     0.00000
   -72.09316     0.00000     0.00000     0.00000
   -72.08216     0.00000     0.00000     0.00000
   -72.07116     0.00000     0.00000     0.00000
   -72.06116     0.00000     0.00000     0.00000
   -72.05016     0.00000     0.00000     0.00000
   -72.03916     0.00000     0.00000     0.00000
   -72.02916     0.00000     0.00000     0.00000
   -72.01816     0.00000     0.00000     0.00000
   -72.00716     0.00000     0.00000     0.00000
   -71.99716     0.00000     0.00000     0.00000
   -71.98616     0.00000     0.00000     0.00000
   -71.97516     0.00000     0.00000     0.00000
   -71.96516     0.00000     0.00000     0.00000
   -71.95416     0.00000     0.00000     0.00000
   -71.94316     0.00000     0.00000     0.00000
   -71.93316     0.00000     0.00000     0.00000
   -71.92216     0.00000     0.00000     0.00000
   -71.91116     0.00000     0.00000     0.00000
   -71.90016     0.00000     0.00000     0.00000
   -71.89016     0.00000     0.00000     0.00000
   -71.87916     0.00000     0.00000     0.00000
   -71.86816     0.00000     0.00000     0.00000
   -71.85816     0.00000     0.00000     0.00000
   -71.84716     0.00000     0.00000     0.00000
   -71.83616     0.00000     0.00000     0.00000
   -71.82616     0.00000     0.00000     0.00000
   -71.81516     0.00000     0.00000     0.00000
   -71.80416     0.00000     0.00000     0.00000
   -71.79416     0.00000     0.00000     0.00000
   -71.78316     0.00000     0.00000     0.00000
   -71.77216     0.00000     0.00000     0.00000
   -71.76216     0.00000     0.00000     0.00000
