     #Energy       W_all      Mo_all      Ti_all      Pt_all
   -76.00279     0.00000     0.00000     0.00000     0.00000
   -75.99179     0.00000     0.00000     0.00000     0.00000
   -75.98179     0.00000     0.00000     0.00000     0.00000
   -75.97079     0.00000     0.00000     0.00000     0.00000
   -75.95979     0.00000     0.00000     0.00000     0.00000
   -75.94979     0.00000     0.00000     0.00000     0.00000
   -75.93879     0.00000     0.00000     0.00000     0.00000
   -75.92879     0.00000     0.00000     0.00000     0.00000
   -75.91779     0.00000     0.00000     0.00000     0.00000
   -75.90679     0.00000     0.00000     0.00000     0.00000
   -75.89679     0.00000     0.00000     0.00000     0.00000
   -75.88579     0.00000     0.00000     0.00000     0.00000
   -75.87479     0.00000     0.00000     0.00000     0.00000
   -75.86479     0.00000     0.00000     0.00000     0.00000
   -75.85379     0.00000     0.00000     0.00000     0.00000
   -75.84279     0.00000     0.00000     0.00000     0.00000
   -75.83279     0.00000     0.00000     0.00000     0.00000
   -75.82179     0.00000     0.00000     0.00000     0.00000
   -75.81079     0.00000     0.00000     0.00000     0.00000
   -75.80079     0.00000     0.00000     0.00000     0.00000
   -75.78979     0.00000     0.00000     0.00000     0.00000
   -75.77879     0.00000     0.00000     0.00000     0.00000
   -75.76879     0.00000     0.00000     0.00000     0.00000
   -75.75779     0.00000     0.00000     0.00000     0.00000
   -75.74679     0.00000     0.00000     0.00000     0.00000
   -75.73679     0.00000     0.00000     0.00000     0.00000
   -75.72579     0.00000     0.00000     0.00000     0.00000
   -75.71579     0.00000     0.00000     0.00000     0.00000
   -75.70479     0.00000     0.00000     0.00000     0.00000
   -75.69379     0.00000     0.00000     0.00000     0.00000
   -75.68379     0.00000     0.00000     0.00000     0.00000
   -75.67279     0.00000     0.00000     0.00000     0.00000
   -75.66179     0.00000     0.00000     0.00000     0.00000
   -75.65179     0.00000     0.00000     0.00000     0.00000
   -75.64079     0.00000     0.00000     0.00000     0.00000
   -75.62979     0.00000     0.00000     0.00000     0.00000
   -75.61979     0.00000     0.00000     0.00000     0.00000
   -75.60879     0.00000     0.00000     0.00000     0.00000
   -75.59779     0.00000     0.00000     0.00000     0.00000
   -75.58779     0.00000     0.00000     0.00000     0.00000
   -75.57679     0.00000     0.00000     0.00000     0.00000
   -75.56579     0.00000     0.00000     0.00000     0.00000
   -75.55579     0.00000     0.00000     0.00000     0.00000
   -75.54479     0.00000     0.00000     0.00000     0.00000
   -75.53379     0.00000     0.00000     0.00000     0.00000
   -75.52379     0.00000     0.00000     0.00000     0.00000
   -75.51279     0.00000     0.00000     0.00000     0.00000
   -75.50279     0.00000     0.00000     0.00000     0.00000
   -75.49179     0.00000     0.00000     0.00000     0.00000
   -75.48079     0.00000     0.00000     0.00000     0.00000
   -75.47079     0.00000     0.00000     0.00000     0.00000
   -75.45979     0.00000     0.00000     0.00000     0.00000
   -75.44879     0.00000     0.00000     0.00000     0.00000
   -75.43879     0.00000     0.00000     0.00000     0.00000
   -75.42779     0.00000     0.00000     0.00000     0.00000
   -75.41679     0.00000     0.00000     0.00000     0.00000
   -75.40679     0.00000     0.00000     0.00000     0.00000
   -75.39579     0.00000     0.00000     0.00000     0.00000
   -75.38479     0.00000     0.00000     0.00000     0.00000
   -75.37479     0.00000     0.00000     0.00000     0.00000
   -75.36379     0.00000     0.00000     0.00000     0.00000
   -75.35279     0.00000     0.00000     0.00000     0.00000
   -75.34279     0.00000     0.00000     0.00000     0.00000
   -75.33179     0.00000     0.00000     0.00000     0.00000
   -75.32079     0.00000     0.00000     0.00000     0.00000
   -75.31079     0.00000     0.00000     0.00000     0.00000
   -75.29979     0.00000     0.00000     0.00000     0.00000
   -75.28979     0.00000     0.00000     0.00000     0.00000
   -75.27879     0.00000     0.00000     0.00000     0.00000
   -75.26779     0.00000     0.00000     0.00000     0.00000
   -75.25779     0.00000     0.00000     0.00000     0.00000
   -75.24679     0.00000     0.00000     0.00000     0.00000
   -75.23579     0.00000     0.00000     0.00000     0.00000
   -75.22579     0.00000     0.00000     0.00000     0.00000
   -75.21479     0.00000     0.00000     0.00000     0.00000
   -75.20379     0.00000     0.00000     0.00000     0.00000
   -75.19379     0.00000     0.00000     0.00000     0.00000
   -75.18279     0.00000     0.00000     0.00000     0.00000
   -75.17179     0.00000     0.00000     0.00000     0.00000
   -75.16179     0.00000     0.00000     0.00000     0.00000
   -75.15079     0.00000     0.00000     0.00000     0.00000
   -75.13979     0.00000     0.00000     0.00000     0.00000
   -75.12979     0.00000     0.00000     0.00000     0.00000
   -75.11879     0.00000     0.00000     0.00000     0.00000
   -75.10779     0.00000     0.00000     0.00000     0.00000
   -75.09779     0.00000     0.00000     0.00000     0.00000
   -75.08679     0.00000     0.00000     0.00000     0.00000
   -75.07679     0.00000     0.00000     0.00000     0.00000
   -75.06579     0.00000     0.00000     0.00000     0.00000
   -75.05479     0.00000     0.00000     0.00000     0.00000
   -75.04479     0.00000     0.00000     0.00000     0.00000
   -75.03379     0.00000     0.00000     0.00000     0.00000
   -75.02279     0.00000     0.00000     0.00000     0.00000
   -75.01279     0.00000     0.00000     0.00000     0.00000
   -75.00179     0.00000     0.00000     0.00000     0.00000
   -74.99079     0.00000     0.00000     0.00000     0.00000
   -74.98079     0.00000     0.00000     0.00000     0.00000
   -74.96979     0.00000     0.00000     0.00000     0.00000
