     #Energy        Mo_s        V__s       Mo_py       V__py       Mo_pz       V__pz       Mo_px       V__px      Mo_dxy      V__dxy      Mo_dyz      V__dyz      Mo_dz2      V__dz2      Mo_dxz      V__dxz      Mo_dx2      V__dx2
   -41.55345     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -41.30945     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -41.06445     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.81945     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.57545     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.33045     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.08545     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.84045     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.59645     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.35145     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.10645     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -38.86245    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.61745    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.37245    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.12845    -0.00000    -0.00000    -0.00005    -0.00646    -0.00004    -0.00703    -0.00005    -0.00628    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -37.88345     0.00080     0.00021     0.01957     2.97008     0.01489     3.12943     0.02247     2.81130     0.00052     0.00015     0.00042     0.00012     0.00020     0.00005     0.00040     0.00015     0.00026     0.00004
   -37.63845     0.02659     0.00907     0.49318    70.75200     0.49223    69.57400     0.49537    71.46100     0.02022     0.00449     0.02013     0.00430     0.00407     0.00161     0.02059     0.00437     0.00472     0.00146
   -37.39445     0.00930     0.00829     0.22769    57.83140     0.24317    60.34810     0.21577    56.80850     0.01438     0.00701     0.01619     0.00744     0.00120     0.00059     0.01508     0.00735     0.00139     0.00059
   -37.14945     0.00097     0.00125     0.02475    13.03566     0.02572    11.54239     0.02340    13.49590     0.00143     0.00138     0.00143     0.00129     0.00011     0.00005     0.00143     0.00136     0.00010     0.00004
   -36.90445    -0.00001    -0.00001    -0.00015    -0.10056    -0.00015    -0.07283    -0.00015    -0.09984    -0.00001    -0.00001    -0.00001    -0.00001    -0.00000    -0.00000    -0.00001    -0.00001    -0.00000    -0.00000
   -36.65945    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -36.41545     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.17045    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.92545    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.68145    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.43645    -0.00005    -0.00001    -0.04919    -0.00026    -0.04881    -0.00012    -0.03984    -0.00020    -0.00004    -0.00000    -0.00001    -0.00000    -0.00001    -0.00000    -0.00002    -0.00000    -0.00001    -0.00000
   -35.19145     0.00353     0.00052     3.46381     0.01492     3.35940     0.01112     2.80698     0.01313     0.00224     0.00030     0.00117     0.00027     0.00070     0.00020     0.00208     0.00025     0.00065     0.00020
   -34.94745     0.01605     0.00613    15.95000     0.12379    16.04430     0.09526    17.88960     0.13257     0.01117     0.00333     0.01153     0.00249     0.00297     0.00109     0.00868     0.00281     0.00252     0.00141
   -34.70245     0.01658     0.00987    21.31900     0.17064    23.12110     0.15489    19.24190     0.18537     0.01770     0.00548     0.01207     0.00457     0.00364     0.00121     0.01563     0.00482     0.00207     0.00147
   -34.45745     0.01672     0.01629    30.78500     0.24938    29.18160     0.23529    31.37650     0.25777     0.01759     0.01077     0.02175     0.01063     0.00303     0.00118     0.02119     0.01067     0.00246     0.00153
