     #Energy        Nb_s        Ti_s       Nb_py       Ti_py       Nb_pz       Ti_pz       Nb_px       Ti_px      Nb_dxy      Ti_dxy      Nb_dyz      Ti_dyz      Nb_dz2      Ti_dz2      Nb_dxz      Ti_dxz      Nb_dx2      Ti_dx2
   -33.97858    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.76258    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.54558    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.32858    -0.00000    -0.00000    -0.00000    -0.00026    -0.00000    -0.00030    -0.00000    -0.00032    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.11258    -0.00008    -0.00007    -0.00300    -0.59233    -0.00306    -0.61871    -0.00263    -0.52420    -0.00002    -0.00002    -0.00002    -0.00003    -0.00001    -0.00001    -0.00002    -0.00003    -0.00001    -0.00001
   -32.89558     0.00417     0.00341     0.15968    29.03100     0.15908    30.17730     0.14203    27.57550     0.00115     0.00110     0.00118     0.00123     0.00061     0.00037     0.00114     0.00132     0.00053     0.00044
   -32.67958     0.01540     0.00833     0.57537    79.06900     0.57876    79.72500     0.62460    80.19300     0.00576     0.00355     0.00543     0.00390     0.00108     0.00104     0.00590     0.00364     0.00117     0.00102
   -32.46258     0.00437     0.00361     0.20714    55.23640     0.20736    53.70800     0.19282    55.74640     0.00338     0.00283     0.00356     0.00282     0.00027     0.00049     0.00331     0.00306     0.00027     0.00038
   -32.24658    -0.00006    -0.00003    -0.00245    -0.43188    -0.00310    -0.69055    -0.00255    -0.69461    -0.00004    -0.00003    -0.00005    -0.00004    -0.00000    -0.00001    -0.00005    -0.00005    -0.00000    -0.00000
   -32.02958    -0.00000    -0.00000    -0.00001    -0.00271    -0.00000    -0.00202    -0.00001    -0.00193    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.81258    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
