     #Energy        Mo_s        Nb_s       Mo_py       Nb_py       Mo_pz       Nb_pz       Mo_px       Nb_px      Mo_dxy      Nb_dxy      Mo_dyz      Nb_dyz      Mo_dz2      Nb_dz2      Mo_dxz      Nb_dxz      Mo_dx2      Nb_dx2
   -36.56213     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.32713     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.09113    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.85613    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.62013    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.38513    -0.00000    -0.00000    -0.00211    -0.00001    -0.00363    -0.00000    -0.00202    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.14913     0.00044     0.00007     0.37613     0.00077     0.84546     0.00037     0.36883     0.00130     0.00028     0.00004    -0.00001     0.00001     0.00010    -0.00000     0.00006     0.00001     0.00002     0.00001
   -34.91413     0.00954     0.00565    20.13083     0.07516    20.33351     0.05224    20.79390     0.06598     0.00660     0.00153     0.00722     0.00137     0.00194     0.00055     0.00464     0.00135     0.00147     0.00079
   -34.67813     0.00991     0.01248    28.07170     0.15410    30.03690     0.14157    28.17710     0.14467     0.00834     0.00341     0.00809     0.00336     0.00209     0.00076     0.01050     0.00310     0.00196     0.00073
   -34.44313     0.01140     0.02089    54.98390     0.30206    46.78910     0.34050    53.51230     0.31325     0.01096     0.00851     0.00973     0.00944     0.00232     0.00083     0.01414     0.00945     0.00250     0.00092
