     #Energy        18_s       18_py       18_py       18_pz       18_pz       18_px       18_px      18_dxy      18_dxy      18_dyz      18_dyz      18_dz2      18_dz2      18_dxz      18_dxz      18_dx2      18_dx2
   -31.39401    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.18201    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -30.96901    -0.00000    -0.00207    -0.00207    -0.00023    -0.00023    -0.00158    -0.00158    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -30.75601     0.00010     0.15840     0.15840     0.01617     0.01617     0.11700     0.11700     0.00004     0.00004     0.00001     0.00001     0.00000     0.00000     0.00001     0.00001     0.00000     0.00000
   -30.54301     0.00039     1.25600     1.25600     0.89980     0.89980     0.86300     0.86300     0.00022     0.00022     0.00023     0.00023     0.00003     0.00003     0.00018     0.00018     0.00006     0.00006
   -30.33001     0.00050     0.90920     0.90920     1.99600     1.99600     1.83000     1.83000     0.00027     0.00027     0.00026     0.00026     0.00003     0.00003     0.00022     0.00022     0.00006     0.00006
   -30.11801     0.00074     3.12600     3.12600     2.74200     2.74200     2.38500     2.38500     0.00030     0.00030     0.00034     0.00034     0.00005     0.00005     0.00037     0.00037     0.00007     0.00007
   -29.90501     0.00054     2.01100     2.01100     1.55200     1.55200     2.23600     2.23600     0.00026     0.00026     0.00025     0.00025     0.00002     0.00002     0.00036     0.00036     0.00002     0.00002
   -29.69201     0.00026     1.59700     1.59700     1.86900     1.86900     1.64600     1.64600     0.00031     0.00031     0.00031     0.00031     0.00001     0.00001     0.00027     0.00027     0.00001     0.00001
   -29.47901     0.00001     0.03265     0.03265     0.01072     0.01072     0.01164     0.01164     0.00000     0.00000     0.00000     0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -29.26701    -0.00000    -0.00028    -0.00028    -0.00021    -0.00021    -0.00020    -0.00020    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -29.05401    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -28.84101     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.62801     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.41601     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.20301     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.99001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.77701     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.56501     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.35201     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.13901     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.92601     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.71301     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
